year,survey,transect,total_sA_times_area_above3,total_sA_times_area_below3,total_kg_above3,total_kg_below3,total_area_nmi2
1994,199407,1,45622.47682,66402.33,85514076172.81061,196113092094.823,790
1994,199407,2,67466.762,162080.94520000002,1178877314625.6235,3053093074171.6978,1110
1994,199407,3,194356.04309,271225.3988,1087863310115.6495,1770411545042.5017,1450
1994,199407,4,380290.34107,453366.656,1483637324278.9612,3279170854606.429,1880
1994,199407,5,213990.74761,323150.851,1088396823515.6118,2110197028050.6921,1710
1994,199407,6,1342153.61851,982235.004,13102145296992.45,30821289130243.2,2070
1994,199407,7,577928.1725699999,108459.46280000001,1230644590022.1738,348686635254.54047,2540
1994,199407,8,698127.2895600001,268272.6051,1076150984774.9629,919630181148.9937,2700
1994,199407,9,750487.123,216042.0479,1433568885027.5022,1233444293492.1228,2550
1994,199407,10,1023167.45085,190727.2702,801164064106.8147,442256014739.388,2790
1994,199407,11,608156.26036,162407.0603,583945258310.3073,657085840782.5247,3760
1994,199407,12,206188.65734,99554.966,90924751476.68675,373337521482.90656,3380
1994,199407,13,325409.32401,43818.4871,85661752912.65501,29096876413.26801,2260
1994,199407,14,201849.60937,105765.7779,277440271680.58673,546889263961.02203,2310
1994,199407,15,56430.97913,16622.9365,5570946214.080766,15106355981.221508,2580
1994,199407,16,241634.21395,232027.4866,884965715442.5677,775638869355.4735,2650
1994,199407,17,271312.15832,87786.6279,341118466156.2697,456676870120.02216,3060
1994,199407,18,404117.39656,209020.3209,562419071933.512,657448653235.0343,3390
1994,199407,19,1343293.1708499999,668331.7118,4257239406344.526,2985458589967.9644,3460
1994,199407,20,1847839.22592,898384.2592,8086368621895.225,3538657105166.295,3600
1994,199407,21,3045089.67514,1735800.6803,17956908709084.598,31078919188538.953,4470
1994,199407,22,3274942.88208,307761.1112,4528300189381.301,730804241710.7096,3510
1994,199407,23,1585632.5886,225590.214,2810660519765.854,796241113875.5443,1740
1994,199407,23.5,1015827.1242,92638.723,741924861141.3751,140296626193.09848,2700
1994,199407,24,2874761.7714,296543.082,8191358265348.802,4431785159594.146,4310
1994,199407,25,2753344.64748,149327.2425,931748140957.6373,201974754207.52307,3840
1994,199407,26,4366869.1828,130040.9332,1550345769127.9358,177719163306.5969,3490
1994,199407,27,2199032.776,81130.8568,936475445419.6929,111931126313.37178,1590
1994,199407,27.5,953784.56868,20222.8654,204129585816.71442,14970620586.685251,1240
1994,199407,28,2388215.542,210367.5008,16456933820885.082,4962851645306.714,1270
1994,199407,29,1534.909,0,0,0,60
1996,199612,1,21143.34161,28959.9893,16730296658.028284,139947860295.033,980
1996,199612,2,6255.35494,44270.9995,5172672503.857552,72134016816.26744,1180
1996,199612,3,196931.08334,153700.65,701248105414.8583,624559251531.6526,1390
1996,199612,4,166172.76394,248151.0638,1222790648339.4658,2592278474517.526,1660
1996,199612,5,151025.83505,429468.8401,2056192181675.2307,7205453290982.889,2000
1996,199612,6,302546.25383,405780.9843,1123379344657.5642,3116147622209.369,2500
1996,199612,7,483944.4363,591549.576,2379932539525.973,4144749334558.1113,2400
1996,199612,8,408673.883,233706.9575,458979363329.6696,734219168621.925,2750
1996,199612,9,681331.72893,323742.2243,720837060846.9927,1654698435201.2847,3090
1996,199612,10,265348.49991,54267.0192,136211773991.01073,49017070029.14129,3120
1996,199612,11,299541.14403,63896.5666,157166253764.87228,135054603839.17348,3200
1996,199612,12,545023.99487,53516.7288,70832414055.57251,232956185828.705,2840
1996,199612,13,320129.28226999997,23422.7286,12833329268.655102,7759777621.806285,2980
1996,199612,14,153240.18037000002,66390.5289,12788664716.896524,9830380230.15708,2350
1996,199612,15,270813.42087,199122.0571,2008862614.3468623,1393483856.422306,2210
1996,199612,16,38213.0319,14989.0107,9206489895.486874,2251304679.9195175,1630
1996,199612,17,164676.42671,235725.3853,1220908594704.168,1472906450455.245,2300
1996,199612,18,32997.59407,35292.2723,12772119997.968908,45707938521.3638,2550
1996,199612,19,815349.53254,448952.312,10401584624008.045,7228125817782.033,4800
1996,199612,20,937867.49709,487346.0063,2424161500059.814,3092168131624.2817,5360
1996,199612,21,2258521.10634,530985.5632,1647394013514.7017,3857604883108.996,7870
1996,199612,22,3298570.10018,759090.0377,3753853614361.3276,3445942057630.9634,7470
1996,199612,23,2070288.47704,397959.40619999997,1455698577259.9004,1170702226472.5864,6100
1996,199612,24,3011607.864,185875.6511,1868458841537.3437,217935483879.23254,4440
1996,199612,25,2877809.31535,223099.985,2460820757896.048,591645794784.5977,4460
1996,199612,26,1831524.92262,98701.2263,565194849410.961,58306466529.63518,3770
1996,199612,27,2095630.14962,131220.1096,1059430584506.5647,114255976387.34203,3290
1996,199612,28,1911441.45396,217544.7883,3464487366981.7896,1250206837891.6804,2800
1996,199612,29,201429.48593,128661.9673,252691180869.72534,601007414481.4312,2320
1997,199708,1,16969.537,126789.078,185474463815.6352,1726204995191.8196,990
1997,199708,2,43916.73775,213506.541,283080521494.732,2270663767480.6978,1240
1997,199708,3,62416.99314,202795.172,263660255974.36902,1745834059057.0056,1410
1997,199708,4,85107.4452,98642.5228,140278566566.1898,244027202265.3172,1680
1997,199708,5,468480.98716,449288.384,1557068402282.1973,2933845637285.779,2200
1997,199708,6,188105.3168,297391.642,506909000459.28876,1091309792394.277,2590
1997,199708,7,355759.96221,366196.8108,990390605091.605,1495584274140.3662,2510
1997,199708,8,1075663.54451,180534.74,546206346949.08936,252609395493.67245,2960
1997,199708,9,991647.95201,101024.6288,474861543081.6016,126885688579.72028,3140
1997,199708,10,1070760.91013,302295.3697,294964765598.6755,2801062585710.6353,3360
1997,199708,11,1352282.29829,275350.5505,502904118186.1495,2154443099011.8271,3880
1997,199708,12,1594874.8752000001,171656.8771,228643008546.7385,1461346598414.491,4000
1997,199708,13,1490142.16767,30230.6899,26081142709.688828,10144825302.448965,3540
1997,199708,14,1006261.80611,112004.0224,200676566030.77603,290111953024.8816,2800
1997,199708,15,474527.26282,117653.6784,1854137243478.973,446389551506.02527,2920
1997,199708,16,190837.258,140122.343,2024073554675.669,1084712845473.9463,2270
1997,199708,17,30675.26997,28831.4882,7449106151.442663,23361872290.36928,2990
1997,199708,18,636486.18115,44681.6141,45733596802.77865,31210561447.988842,3100
1997,199708,19,1022647.48458,395267.0188,802918565127.6237,4268801099721.381,6610
1997,199708,20,2209084.19706,721251.0807,6643572690846.251,20552741485644.004,5760
1997,199708,21,1057899.1448600001,421805.1722,2060011150654.7444,1799072637181.6436,8040
1997,199708,22,1858111.50437,681389.875,8031952427912.89,12334525535841.953,7510
1997,199708,23,1460831.08204,1411076.264,12252217631837.28,17775047092303.72,6170
1997,199708,24,3966129.3426,1170574.3405,10680702312644.191,9905012915372.186,4470
1997,199708,25,4141324.45822,956689.4811,7123556492565.446,7529727347926.289,4490
1997,199708,26,3587918.4758,308095.8342,2247907614237.0376,526006015720.5433,3810
1997,199708,27,3036648.8596,208123.264,1179946908296.7756,290314954421.5398,3350
1997,199708,28,1457297.47955,174653.2874,1162042408837.5933,360537523178.9819,2840
1997,199708,29,439954.61695,100789.6372,472189481314.3253,308391650450.7353,2140
1999,199909,1,0,0,0,0,900
1999,199909,2,0,0,0,0,1200
1999,199909,3,0,0,0,0,1400
1999,199909,4,37695.22439,15966.1598,5086186508.711588,20351129818.534515,1670
1999,199909,5,94875.75143,56132.5027,25927400672.97399,430467771809.3623,1950
1999,199909,6,470250.05854,118969.9098,384532034132.6078,360329073288.41675,2360
1999,199909,7,157063.45619,98363.5258,86883295967.93364,381270202203.8668,2500
1999,199909,8,721132.87663,80238.9474,367181577352.56616,122679936953.06004,2710
1999,199909,9,1287885.19567,91391.7027,388235973856.41785,92177487504.69887,3480
1999,199909,10,1588062.98086,89103.8639,805697544548.7955,163981851948.00787,3620
1999,199909,11,318589.47003,67756.0607,84849049362.76085,148440516639.71445,4360
1999,199909,12,597546.98822,54882.2632,97836573608.6223,47547730048.51434,3190
1999,199909,13,2371540.4397,218797.6374,992507133403.7601,714945617283.0458,4120
