Sci,Year,vessel,AreaSwept,Lat,Lon,Num,Station
C,2002,1,0.000001,57.5,-161,279.82143,20020101002
C,2002,1,0.000001,57,-161,42.80472,20020101004
C,2002,1,0.000001,56.5,-161,54.94257,20020101006
C,2002,1,0.000001,56,-161,4.75032,20020101007
C,2002,1,0.000001,56,-162,69.77674,20020101008
C,2002,1,0.000001,56,-163,178.81808,20020101009
C,2002,1,0.000001,56.5,-162,152.23824,20020101011
C,2002,1,0.000001,57,-162,40.23635,20020101013
C,2002,1,0.000001,57.5,-162,15.94905,20020101015
C,2002,1,0.000001,58,-162,5.7111,20020101017
C,2002,1,0.000001,58.5,-162,0,20020101019
C,2002,1,0.000001,58.5,-163,0,20020101020
C,2002,1,0.000001,58,-163,2.05227,20020101022
C,2002,1,0.000001,57.5,-163,0.52767,20020101024
C,2002,1,0.000001,57,-163,20.95005,20020101026
C,2002,1,0.000001,56.5,-163,99.09936,20020101028
C,2002,1,0.000001,56,-163,641.22212,20020101030
C,2002,1,0.000001,55.5,-163,1631.83195,20020101032
C,2002,1,0.000001,55.5,-164,119.629,20020101035
C,2002,1,0.000001,56,-164,69.62424,20020101037
C,2002,1,0.000001,56.5,-164,607.7213,20020101039
C,2002,1,0.000001,57,-164,27.89774,20020101041
C,2002,1,0.000001,57.5,-164,0.59488,20020101043
C,2002,1,0.000001,58,-164,0,20020101045
C,2002,1,0.000001,58.5,-164,0,20020101047
C,2002,1,0.000001,59,-164,0,20020101049
C,2002,1,0.000001,59,-165,0,20020101051
C,2002,1,0.000001,58.5,-165,0,20020101053
C,2002,1,0.000001,58,-165,0.49608,20020101055
C,2002,1,0.000001,57,-165,125.49096,20020101059
C,2002,1,0.000001,56.5,-165,284.17608,20020101061
C,2002,1,0.000001,55,-166,923.559,20020101064
C,2002,1,0.000001,55.5,-166,707.1591,20020101065
C,2002,1,0.000001,56,-166,7901.65468,20020101066
C,2002,1,0.000001,56.5,-166,16.30692,20020101067
C,2002,1,0.000001,59,-166,0,20020101069
C,2002,1,0.000001,58.5,-166,0,20020101071
C,2002,1,0.000001,57,-166,173.6691,20020101075
C,2002,1,0.000001,58,-167,6.33765,20020101077
C,2002,1,0.000001,59.5,-168,0,20020101086
C,2002,1,0.000001,59,-168,0,20020101088
C,2002,1,0.000001,58.5,-168,0,20020101090
C,2002,1,0.000001,58,-168,14.62536,20020101092
C,2003,1,0.000001,59,-166,0,20030101030
C,2003,1,0.000001,58.5,-166,46.17324,20030101032
C,2003,1,0.000001,58,-166,1675.3009,20030101034
C,2003,1,0.000001,57.5,-166,0,20030101035
C,2003,1,0.000001,57,-166,43.46166,20030101036
C,2003,1,0.000001,56.5,-166,39.95016,20030101037
C,2003,1,0.000001,56,-166,1.9188,20030101038
C,2003,1,0.000001,55.5,-166,3039.69774,20030101039
C,2003,1,0.000001,55,-166,985.83877,20030101040
C,2003,1,0.000001,55,-165,348.24273,20030101043
C,2003,1,0.000001,55.5,-165,1832.65,20030101045
C,2003,1,0.000001,56,-165,9.34575,20030101048
C,2003,1,0.000001,56.5,-165,32.59888,20030101049
C,2003,1,0.000001,57,-165,18.56925,20030101051
C,2003,1,0.000001,57.5,-165,0,20030101053
C,2003,1,0.000001,58,-165,10.84204,20030101055
C,2003,1,0.000001,58.5,-165,0,20030101058
C,2003,1,0.000001,59,-165,0,20030101059
C,2003,1,0.000001,59,-164,5.4334,20030101061
C,2003,1,0.000001,58.5,-164,4.77009,20030101063
C,2003,1,0.000001,58,-164,0,20030101065
C,2003,1,0.000001,57.5,-164,0,20030101067
C,2003,1,0.000001,57,-164,0,20030101069
C,2003,1,0.000001,56.5,-164,3.40326,20030101071
C,2003,1,0.000001,56,-164,3.76571,20030101073
C,2003,1,0.000001,55.5,-164,566.29738,20030101075
C,2003,1,0.000001,55.5,-163,66.39125,20030101077
C,2003,1,0.000001,56,-163,5.9715,20030101079
C,2003,1,0.000001,56.5,-163,2.72071,20030101081
C,2003,1,0.000001,57,-163,2.19175,20030101083
C,2003,1,0.000001,57.5,-163,2.58048,20030101085
C,2003,1,0.000001,58,-163,15.30408,20030101087
C,2003,1,0.000001,58.5,-163,4.5822,20030101089
C,2003,1,0.000001,59,-163,1.02051,20030101090
C,2003,1,0.000001,58.5,-162,31.29187,20030101091
C,2003,1,0.000001,58,-162,16.38688,20030101093
C,2003,1,0.000001,57.5,-162,0,20030101095
C,2003,1,0.000001,57,-162,0,20030101097
C,2003,1,0.000001,56.5,-162,0,20030101099
C,2003,1,0.000001,56,-162,23.89632,20030101101
C,2003,1,0.000001,56.5,-161,0,20030101102
C,2003,1,0.000001,58,-167,0,20030101104
C,2003,1,0.000001,58,-168,0,20030101106
C,2003,1,0.000001,58,-169,0,20030101108
C,2003,1,0.000001,58,-170,0,20030101110
C,2003,1,0.000001,59,-171,0.77112,20030101112
C,2003,1,0.000001,59,-170,0,20030101114
C,2003,1,0.000001,59,-169,0,20030101116
C,2003,1,0.000001,59,-168,0,20030101118
C,2003,1,0.000001,59,-167,0,20030101120
C,2004,1,0.000001,55,-165,9004.974,20040101001
C,2004,1,0.000001,56.5,-161,46.3368,20040101002
C,2004,1,0.000001,56.5,-160,22.5519,20040101003
C,2004,1,0.000001,58,-160,4492.66752,20040101007
C,2004,1,0.000001,57.5,-160,236.957,20040101008
C,2004,1,0.000001,57,-160,174.2587,20040101009
C,2004,1,0.000001,57,-161,128.3796,20040101010
C,2004,1,0.000001,57.5,-161,529.47108,20040101011
C,2004,1,0.000001,58,-161,558.81813,20040101012
C,2004,1,0.000001,58.5,-162,0,20040101013
C,2004,1,0.000001,58,-162,119.08224,20040101014
C,2004,1,0.000001,57.5,-162,284.8923,20040101015
C,2004,1,0.000001,57,-162,0,20040101016
C,2004,1,0.000001,56.5,-162,14.88498,20040101017
C,2004,1,0.000001,55.5,-163,19.48526,20040101018
C,2004,1,0.000001,56,-163,313.50969,20040101019
C,2004,1,0.000001,56.5,-163,55.42875,20040101020
C,2004,1,0.000001,57,-163,0,20040101021
C,2004,1,0.000001,57.5,-163,155.9547,20040101022
C,2004,1,0.000001,58,-163,70.60935,20040101023
C,2004,1,0.000001,59,-164,48.94932,20040101025
C,2004,1,0.000001,59,-165,187.01214,20040101026
C,2004,1,0.000001,58.5,-165,260.246,20040101027
C,2004,1,0.000001,58,-165,36.81617,20040101028
C,2004,1,0.000001,58.5,-164,16.80107,20040101029
C,2004,1,0.000001,58,-164,11.42301,20040101030
C,2004,1,0.000001,57.5,-164,0,20040101031
C,2004,1,0.000001,57,-164,0,20040101032
C,2004,1,0.000001,56.5,-164,46.6466,20040101033
C,2004,1,0.000001,56,-164,1618.54236,20040101034
C,2004,1,0.000001,55.5,-164,14198.84283,20040101035
C,2004,1,0.000001,55.5,-165,3388.25504,20040101036
C,2004,1,0.000001,56,-165,10398.10499,20040101037
C,2004,1,0.000001,56.5,-165,32.20875,20040101038
C,2004,1,0.000001,57,-165,0,20040101039
