Year,C_MN_VASTmean_2020,C_MN_VASTse_2020,C_VASTmean_2020,C_VASTse_2020,MN_VASTmean_2020,MN_VASTse_2020
2002,824,404,344.5223743,114.962144,479.4586814,289.3959935
2003,762,360,124.251136,44.18434437,637.8590026,315.7645596
2004,2445,856,1238.039752,364.1293387,1206.512085,492.1656172
2005,1663,556,526.5870437,129.7020522,1135.996558,426.5775203
2006,2249,708,873.910413,190.8357625,1375.137422,517.5594371
2007,3623,721,2554.507361,378.1343133,1068.515232,343.2395187
2008,23657,9140,14957.31284,3725.323235,8700.112993,5414.883367
2009,9733,2236,8206.915096,1630.17904,1525.981735,605.9084187
2010,12294,2542,11175.9697,2103.54718,1118.47906,438.9439129
2011,15393,2986,13332.73579,2319.223788,2060.608179,666.86367
2012,30504,5625,27729.84964,4789.701302,2774.649792,835.4751608
2013,,,,,,
2014,7023,1709,6330.248504,1478.925314,693.1998561,230.4681556
2015,2420,740,988.7512044,222.2633485,1431.165517,517.3493625
2016,3896,1223,2011.114348,591.0099267,1884.398351,631.9016515
2017,,,,,,
2018,5321,1899,5265.870437,1868.263607,55.04962857,30.89318304
