1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
14930459597069.227,32961102659725.49,24068620317561.566,31381690044113.977,26001009279326.92,28516635329853.203,42735502672021.9,40479225834165.984,46304851534121.71,24737771887592.344,19703481124393.11,22190028381130.348,25369542523838.9,33254553074360.64,12400583891529.375,17127718878221.426,10497502485416.8,19590299966740.15,27824580532839.324,16876859128389.592,21659071363720.508,43784663698325.32,13784215995390.174,24512158371704.49,11343942017246.65,24081925591643.945,12983156941430.668,10179174021644.967,15764768394904.049,11052794713436.518,13613478487743.326,20910750752078.586,37025123799390.15,28448847302545.203,18867046454846.9,23768766540931.55,12417227338892.068,26615078930310.31
32961102659725.49,72783767898988.56,53144342390933.16,69319022117618.664,57415037035021.26,62934076656410.89,94306581988982.17,89360791285931.125,102129584780164.95,54583281671203.14,43496924689494.875,48995845136417.33,55999357909690.55,73362070776969.5,27386543941666.332,37804081046880.734,23176772982421.016,43233665020106.805,61408450777942.6,37281679752991.17,47830691376618.4,96630457320884.25,30442968604046.04,54135952377722.836,25058656416532.586,53179859195706.83,28683244791037.965,22487132598016.227,34808371646500.62,24413465070833.496,30065882938147.023,46196126785429.83,81765220047065.375,62833515778904.45,41649260801980.73,52497474116519.13,27403030777506.527,58770829264119.72
24068620317561.566,53144342390933.16,38804924440611.51,50610313030229.51,41922520580346.45,45959473749591.44,68872018509054.695,65252807109238.15,74596028373413.5,39863203935787.266,31762861574471.97,35776141809220.08,40892920425697.92,53581955885445.77,19996110826117.97,27606704580693.594,16923675148457.176,31572595835723.074,44844956433822.89,27219257398362.086,34923818001837.824,70569942826519.45,22227650785322.77,39526677929591.83,18295392173220.05,38829628808938.42,20941008927687.836,16417611705224.287,25416638914156.78,17824735401689.227,21952308692890.508,33726967002409.293,59701095339850.586,45876549813709.38,30413498964918.598,38329907115054.06,20012046018743.984,42912977056696.62
31381690044113.977,69319022117618.664,50610313030229.51,66052251088971.64,54682549940357.21,59889196499838.164,89725587598375.31,85071198867600.875,97088403672995.92,51926842704915.79,41409818287688.414,46661032096833.18,53305717271043.086,69752461702440.4,26090207113583.203,35981555211231.38,22070540625127.457,41141563456783.055,58439034088522.234,35529711224941.61,45560404933498.47,91913854834627.56,29002788301918.105,51572363765113.68,23880857136460.426,50652409610665.88,27338939222368.223,21431342467534.84,33148827833027.164,23263487553590.76,28643278442308.51,44028264999392.66,77883989808484.02,59863718595666.02,39651785095203.54,50019241844045.86,26077740686303.094,55976519918696.98
26001009279326.92,57415037035021.26,41922520580346.45,54682549940357.21,45291548657855.89,49643922678914.9,74390399334612.56,70490970553397.53,80559019478703.02,43056245037846.94,34311592300971.625,38649967898978.35,44174229743292.43,57867265416917.336,21603944658735.633,29820941894240.29,18282877015904.33,34103935644874.87,48440531431010.97,29409952318484.58,37731106014258.86,76222226956025.31,24014981273787.89,42705154172942.93,19767745416116.03,41950743818166.65,22627049075533.12,17739161352682.33,27458313275648.99,19258745856395.41,23717504170459.22,36442161500085.95,64500136405702.28,49566366111819.52,32854479775722.91,41412898674397.2,21616316192815.44,46360994378038.766
28516635329853.203,62934076656410.89,45959473749591.44,59889196499838.164,49643922678914.9,54500567774884.945,81704464886707.11,77321082490296.8,88620217473802.4,47294052827684.81,37647514883422.24,42374894339760.57,48465596249239.83,63652907097100.75,23670439977367.73,32727919825414.883,20046427888721.11,37436906019078.68,53175438825655.52,32203802458160.047,41349580763068.46,83784413898830.66,26311689791214.355,46789576414620.01,21646335964714.285,45975899796724.91,24770856734249.11,19422619541434.5,30104537457686.785,21093125232654.723,25985873574102.39,39898315119918.57,70686416160489.17,54299344280315.31,36040183116261.195,45364464666272.79,23730056255061.54,50820801114081.055
42735502672021.9,94306581988982.17,68872018509054.695,89725587598375.31,74390399334612.56,81704464886707.11,122553077406564.53,115888736139567.39,133026128823364.98,70910645676409.97,56447932280558.37,63500092054462.66,72637510864022.08,95658530095731.16,35462481911016.63,49060252604635.3,30036767350858.914,56115204328596.03,79718408820296.22,48241843640819.1,61957021145224.37,126054127563139.5,39420624714899.13,70104842339861.8,32425359185452.055,68890963819226.79,37106738354806.664,29095803722712.383,45111407145090.53,31597156877867.06,38932956347027.4,59770956873581.555,105920406421763.27,81351396157842.23,54012246733539.19,67959384187305.93,35568941420339.08,76157399338573.5
40479225834165.984,89360791285931.125,65252807109238.15,85071198867600.875,70490970553397.53,77321082490296.8,115888736139567.39,109752217159883.66,125591912725584.27,67078152329322.37,53422811212898.25,60157481408408.805,68783419466572.87,90209836735113.73,33615765261966.926,46439202511150.875,28458245749798.34,53116953818451.35,75445032926201.05,45747972522710.34,58717158709141.54,118789728357300.84,37366589586970.086,66451106944434.78,30749351285004.332,65287446732443.055,35193155601889.09,27592790013998.168,42738788968070.58,29960266973214.492,36904062950752.32,56683897038353.67,100376021399671.83,77120935890596.3,51150902153765.875,64430978071724.6,33666483390573.23,72152696410723.77
46304851534121.71,102129584780164.95,74596028373413.5,97088403672995.92,80559019478703.02,88620217473802.4,133026128823364.98,125591912725584.27,144657017312895.66,76953953193795.86,61204984563023.4,68780833664771.305,78731911808772.47,104110706001912.36,38384977561289.62,53196417884645.47,32534446678356.035,60854869234457.59,86461487086472.27,52187715675500.93,67081195383763.56,137251904706136.62,42669373237891.164,75885972668761.69,35077606823461.7,74593197670937.77,40133870617131.73,31473685017085.523,48862067477882.97,34187576521614.83,42142025147131.88,64654080504772.305,114685625170042.05,88045616840892.625,58533624701901.47,73543458454274.6,38574154757572.945,82480590754704.66
24737771887592.344,54583281671203.14,39863203935787.266,51926842704915.79,43056245037846.94,47294052827684.81,70910645676409.97,67078152329322.37,76953953193795.86,41048212850202.94,32662150330674.41,36754482548448.984,42048459445543.6,55269162381106.76,20526315551486.496,28397173580621.52,17388206171997.084,32486147649770.074,46143041113777.305,27920140394803.94,35860054953977.78,72729064614621.34,22816495003827.43,40574601077821.59,18767193002870.926,39873144362132.84,21474136996931.113,16838564346148.316,26111743690255.004,18288832764535.43,22534023848152.414,34589448564470,61302277939504.9,47084381920012.234,31266035239604.016,39335657668100.51,20592034132062.516,44077381618336.6
19703481124393.11,43496924689494.875,31762861574471.97,41409818287688.414,34311592300971.625,37647514883422.24,56447932280558.37,53422811212898.25,61204984563023.4,32662150330674.41,26021744573113.582,29287853350845.437,33482347109020.973,44005758232075.79,16363138428424.475,22610854066241.38,13852952075544.76,25856883976829.156,36733050072117.65,22269285153947.996,28582308358971.387,57992774174836.94,18190043527404.992,32345242261204.33,14968347439533.127,31777697204161.297,17131524142523.605,13431607344795.113,20805827004945.676,14584377705969.787,17964651484860.69,27592418332035.6,48862351990360.734,37539314098330.87,24902399947630.77,31363392046189.8,16390940129047.736,35130305807803.875
22190028381130.348,48995845136417.33,35776141809220.08,46661032096833.18,38649967898978.35,42374894339760.57,63500092054462.66,60157481408408.805,68780833664771.305,36754482548448.984,29287853350845.437,32986681359155.3,37701716221607.164,49405087934382.586,18436469872046.695,25453579509641.953,15603926489647.775,29108763893839.05,41346458883651.14,25096457044766.715,32198954611534.066,65061808233977.19,20494265941280.195,36441829022484.09,16868922630344.002,35798233689190.836,19307661736746.32,15137003560993.1,23434284751414.184,16435181026325.016,20240178495742.055,31095590112013.78,55042498748599.055,42297069753272.125,28041973594575.324,35340848595412.57,18451821022798.367,39567744677429.84
25369542523838.9,55999357909690.55,40892920425697.92,53305717271043.086,44174229743292.43,48465596249239.83,72637510864022.08,68783419466572.87,78731911808772.47,42048459445543.6,33482347109020.973,37701716221607.164,43111020220887.695,56538670400331.1,21065935736361.54,29107349918784.605,17836078411149.453,33294335511386.336,47288567615074.07,28666140378259.473,36795994789354.86,74425803290419.48,23416304672788.33,41640757759221.71,19268386802925,40912581782762.02,22051299237127.25,17289438083081.945,26784990316275.086,18774726608817.516,23126280959005.31,35516648041597.97,62900971324886.96,48326777756884.37,32059875994179.793,40376053699230.6,21103665368242.855,45218215863767.65
33254553074360.64,73362070776969.5,53581955885445.77,69752461702440.4,57867265416917.336,63652907097100.75,95658530095731.16,90209836735113.73,104110706001912.36,55269162381106.76,44005758232075.79,49405087934382.586,56538670400331.1,75235046910015.4,27570248972283.51,38212208949121.07,23362000035752.164,43695780134487.51,62106984527290.445,37491432101982.05,48185610651520.805,99717441663872.81,30649922311324.33,54513334195314.2,25197408494209.367,53581367654719.52,28835803248664.383,22612510428527.684,35094380796581.9,24555692536123.125,30271509759701.36,46455120569151.086,82389949728283.6,63246222138439.016,42037084891003.47,52823504223333.12,27698019304528.777,59257936173662.836
12400583891529.375,27386543941666.332,19996110826117.97,26090207113583.203,21603944658735.633,23670439977367.73,35462481911016.63,33615765261966.926,38384977561289.62,20526315551486.496,16363138428424.475,18436469872046.695,21065935736361.54,27570248972283.51,10307273703842.977,14220162447346.168,8721162673243.565,16261085475724.729,23096650818741.79,14033904963851.209,17999423315301.5,36316103067102.49,11457682790208.248,20373191431945.766,9433054536706.55,20011054698659.504,10797707805439.834,8464836181312.316,13097654537258.797,9189842572795.977,11315579368317.334,17389304106669.559,30768618785233.637,23648096025017.57,15669629797607.812,19759731713747.5,10307690186544.16,22116046237287.04
