year,subarea,tot_num_hauls,tot_cpue_no_ha_dist,tot_cpue_no_ha_var_dist,tot_cpue_kg_ha_dist,tot_cpue_kg_ha_var_dist,tot_area,tot_area_ha,biomass_MT_ha,biomass_th_t,biomass_MT_ha_var,population_num_ha,population_num_ha_var,num_hauls_subarea,edf_biomass,edf_pop,df_bm,df_num,t_stat_bm,t_stat_num,low95_bm,high95_bm,low95_num,high95_num
1985,0,1,159.9159942790252,0,42.099479470233476,0,200207,20020700,842861.0486297033,842.8610486297033,0,3201630146.66208,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,0,24,0,0,0,0,200207,20020700,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,0,1,3.6305530912631245,0,0.033601139324241365,0,200207,20020700,672.7183300688391,0.6727183300688391,0,72686214.27425164,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,0,1,0.11686065521564411,0,0.007050592864677196,0,200207,20020700,141.15780456584272,0.14115780456584273,0,2339632.119875846,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,0,25,9.694114165602622,42.85657649401338,0.13498336974195285,0.04141216863586809,200207,20020700,2702.4615505927154,2.7024615505927154,16599174.474677874,194082951.4752804,17178134206556858,25,20.181942343988432,22.815050763935183,20,22,2.085963447265865,2.073873067904026,2700.3755871454496,2704.5475140399813,194082949.40140733,194082953.54915348
2005,0,29,4.428789541226718,7.5084673583709876,5.052460512699764,11.824765494228675,200207,20020700,101153.79618660818,101.15379618660818,4739702170.314458,88667466.76803775,3009607171624304.5,29,7.6579761022323,7.389105274214926,7,7,2.3646242515927836,2.3646242515927836,101151.43156235658,101156.16081085977,88667464.4034135,88667469.132662
2006,0,29,2.2075951701029863,4.082032252378006,0.10999590199867833,0.011002245047369989,200207,20020700,2202.194955144939,2.2021949551449387,4410012.592199198,44197600.62208086,1636194572766171.2,29,11.735925700912555,25.47398949191916,11,25,2.200985160091639,2.0595385527532977,2199.9939699848474,2204.3959403050303,44197598.56254231,44197602.68161941
2010,0,141,4.761582271545916,56.58611411379817,1.8696923893469375,4.921350949992146,200207,20020700,37432.550419398234,37.43255041939823,1972617367.3331203,95330210.18393932,22681323194589528,141,63.2181130413192,77.19471705271108,63,77,1.9983405425207414,1.9912543953883848,37430.55207885571,37434.54875994076,95330208.19268493,95330212.17519371
2017,0,143,122.38688045282068,24790.48527297897,90.32034014275328,14694.479417863047,200207,20020700,1808276.4338960208,1808.2764338960208,5889965092540.695,2450271017.4817867,993673125347265e4,143,75.97924531750706,86.02832168767839,75,86,1.9921021540022417,1.98793420623902,1808274.4417938667,1808278.4259981748,2450271015.4938526,2450271019.469721
2019,0,144,176.49195102352112,13928.387706556907,74.78367463815977,4570.291021482224,200207,20020700,1497221.5148282053,1497.2215148282053,1831902567882.6768,3533492403.856609,558289375581864e4,144,136.74914186728103,90.18526009920447,136,90,1.9775607765589258,1.9866745407037678,1497219.5372674288,1497223.4923889819,3533492401.8699346,3533492405.843283
