V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38
43329398.730369195,89951323.91531897,67654655.77469017,91378403.97920366,71689196.34305865,84605014.09957528,114877203.06930776,102785324.4024443,124770100.12756781,73560654.1637245,65331312.53746618,73403689.63738862,74242259.10331964,95879761.54681519,42175172.42077495,52352407.62895265,36777194.127712145,56747670.837447815,79767306.22853589,56708234.34360054,65562070.65086026,144410181.6552512,46839701.20904613,71663175.89762351,40540127.72992047,65555380.72577921,41969589.92093324,32955902.720635273,50152107.31545579,40940433.005393974,45109362.86948659,63231133.85801341,106254532.56446162,87673999.33908716,63373993.13940146,82830491.78909282,43263111.947664805,90946695.84257306
40240986.501429155,83266331.91819063,62751989.897816025,85253600.59734647,66422152.94647957,78518383.0795379,105499573.95182319,94308811.20736532,113968657.82916175,68178815.98645543,61235124.75783408,68931911.28767367,68930434.61235432,87805984.8778731,39736575.947871886,48742822.06363741,34656911.46668525,52562023.61940165,73825285.25566682,53472535.3114006,61235691.54375819,133233318.15872172,44134881.50960741,66796374.16177502,38372092.32387858,60697780.72076921,39498402.536346376,31005886.27170112,46963801.29928853,38816430.55529302,42432287.99530483,59217655.692298576,98836344.62392855,82080651.97149582,59490207.538895324,78210160.06188822,40638269.94533998,85625838.46437316
44601157.78508576,92899736.96294539,69775323.06465335,94330874.04901373,74019344.63623753,86809916.72861658,118081300.82618526,106253084.95405418,127706880.15542147,75378994.26876289,66886052.57023447,75290648.81867996,76336876.8516732,97902538.46598402,43289325.74583732,53708852.302667685,37665015.93180068,58296910.28931114,81949411.37307258,58289711.65645851,67500767.2813855,146946056.14462674,48074785.769467026,73911415.85690622,41592229.72240834,67741703.15451191,43210267.67972506,33920033.41646749,51504953.66434695,41945888.195289865,46332977.06430608,65234406.39658619,109582731.30723535,90292516.63273413,64913878.29583822,84991633.08826712,44209544.15870221,93228635.93676691
39274176.95612722,81141418.64331104,61197493.42131905,83175897.78652978,64740497.408350326,76745294.63440718,103044457.58446246,91773536.32561058,111539095.34717634,66663170.74131468,60017108.06295017,67466651.49227358,67301409.0442646,86224194.26364462,38890437.297504276,47663367.6900488,33944263.0112791,51321042.576494,72104094.16841221,52315657.40886856,59807072.48693864,131200655.30492869,43199171.69336806,65179040.85264491,37582828.79512696,59135788.86340888,38614482.20553034,30313572.87484227,45924749.6406104,38042889.43550851,41512987.29833131,57816459.785168126,96431751.06665163,80177449.17353337,58248412.352792576,76573350.39007002,39826526.97510628,83862910.18161643
47524349.16910289,99538776.73375829,74599376.73104605,101015024.17666975,79267016.81140365,92170794.9934445,125930399.2035337,114011096.22841173,135539998.26995316,79888386.22666857,70839616.22601798,79846102.76403472,81220270.98999098,103712985.59621423,45913948.81210458,56998121.73241536,39808474.403122306,61946705.79456935,87173243.73413573,61984170.32152837,71975788.50320648,154915233.44576323,51004484.034065485,79009372.65374057,44090345.34439067,72628042.64991036,46075860.90591317,36148110.347912826,54713868.133206345,44365702.79107642,49214261.24611905,69791814.51721899,117197509.60189578,96300366.5125214,68669872.7383056,90107890.64212343,46587481.12624616,98786461.89215077
37431339.40444062,77170137.8413407,58278271.606655866,79496722.8575958,61610300.97796153,73120865.1871182,97697814.17095827,86797514.81383507,105555308.65043981,63461714.29062235,57599388.401046395,64748663.65868826,64128350.873761415,82123026.0796215,37401833.82336114,45509856.22498255,32645412.917920493,48825416.171009794,68588109.15133019,50336102.38953708,57203138.87429596,125796936.52658778,41546733.585150726,62263836.97495738,36244823.2589195,56249921.133667134,37109462.174549684,29127301.08515334,43993647.83408952,36726036.69022984,39882824.79880304,55394363.8324906,91997923.53565393,76799162.13279952,55891053.914076865,73736038.05332491,38232455.58079077,80632199.00616778
39439879.035395846,81629799.27793837,61519987.8781456,83735840.9227121,65127230.58383737,76824780.56937179,102928521.5318284,92265687.47031601,110779993.43414642,66649567.93387277,60001000.80877656,67660255.80080236,67522274.45935541,85248378.8995927,39054809.618261695,47731782.096727125,34037568.913423605,51437986.26342224,72212247.67107168,52589495.38402743,60107107.13517738,129414373.10352804,43374654.77349984,65573221.34862112,37751827.45736625,59523237.97627779,38847259.83770633,30489704.549402595,46086510.84424178,38188327.83919171,41693806.94339199,58208283.289837785,96961177.25947745,80629290.79253495,58361252.38733896,76901898.58332199,39840716.90506913,84078665.05869521
44790551.071426615,93177049.19407699,70007113.91093363,94426241.21274984,74235303.88501644,87367725.34295185,119071889.75847605,106775672.04454976,129332519.8170622,75954480.22986162,67226617.36829908,75536227.16109715,76718547.86780976,99257952.02361213,43374137.205065496,54012295.376130216,37789833.948491074,58660614.28989355,82476083.73311897,58333787.553496465,67664895.97640055,149008323.79908755,48167674.464054085,74053887.56569573,41628787.90970811,67916007.38577372,43221338.82057314,33938920.79122995,51674010.19222984,41999118.78335818,46423273.45107607,65256208.52078083,109855092.52846196,90435502.76263529,65193266.933750845,85119391.82809976,44460469.09628138,93501518.91942208
43896387.03885302,91339042.2084472,68641814.46591711,92921557.15213118,72792386.62637001,85436762.00349562,115872127.10195039,104241692.30139259,125162303.03238197,74169868.86947824,65979857.24258213,74314369.68980387,75132322.22601053,95976089.27448256,42760046.963232376,52899129.15020916,37213569.35752975,57348738.94892563,80591682.02728674,57582226.94372811,66522395.61161928,144326404.36724642,47487820.249864325,72794741.07836445,41130935.200893804,66605579.80787687,42660365.76462169,33486517.334248144,50799634.218730874,41502020.399613805,45746164.36730942,64319161.486920826,107874186.75288294,89032463.05837876,64072743.309094764,83999649.51858027,43650736.38741807,92076697.59862998
43329398.730369195,89951323.91531897,67654655.77469017,91378403.97920366,71689196.34305865,84605014.09957528,114877203.06930776,102785324.4024443,124770100.12756781,73560654.1637245,65331312.53746618,73403689.63738862,74242259.10331964,95879761.54681519,42175172.42077495,52352407.62895265,36777194.127712145,56747670.837447815,79767306.22853589,56708234.34360054,65562070.65086026,144410181.6552512,46839701.20904613,71663175.89762351,40540127.72992047,65555380.72577921,41969589.92093324,32955902.720635273,50152107.31545579,40940433.005393974,45109362.86948659,63231133.85801341,106254532.56446162,87673999.33908716,63373993.13940146,82830491.78909282,43263111.947664805,90946695.84257306
