"VESSEL","HAUL","CRUISE","HAUL_DATE","LAT","LON","VESSEL_TYPE","DUR","FISHING_DEPTH_FATHOMS","BOTTOM_DEPTH_FATHOMS","OFFICIAL_TOTAL_CATCH","POLLWT","POLLNO","SABLWT","SABLNO","HERRWT","HERRNO","CHIN","CHUM","DEPLOYMENT_DATE","DEPLOYMENT_LATITUDE","DEPLOYMENT_LONGITUDE_CONVERTED","CDQ_CODE","NMFS_AREA","PERFORMANCE"
"A115",77,24712,2021-02-13,56.2225,-162.33417,1,10,20,41,188.78,186957.16,252637,NA,NA,0.64,4,NA,NA,2021-02-13 02:20:00,5610,16221,NA,516,1
"A115",81,24712,2021-02-14,56.201665,-162.191665,1,9.54166666666667,24,43,181.48,178631.06,235048,NA,NA,NA,NA,NA,NA,2021-02-13 22:20:00,5611,16217,NA,516,1
"A091",68,24734,2021-02-16,55.48,-163.925,1,6.33333333333333,35,47,157.7,156531.09,240819,NA,NA,NA,NA,NA,NA,2021-02-16 14:58:00,5530,16354,NA,509,1
"A091",16,24734,2021-01-28,55.618335,-165.1475,1,4.5,45,57,94.81,94140.39,147093,NA,NA,NA,NA,18,NA,2021-01-28 10:32:00,5539,16513,NA,517,1
"A041",41,24714,2021-02-12,56.16,-162.9225,1,6.875,32,43,135.88,132948.52,170446,NA,NA,0.25,4,NA,NA,2021-02-12 00:40:00,5608,16256,"C55",516,1
"78139",12,24603,2021-02-07,55.5,-164.266665,3,25.625,31,55,130,124996.9,172284,NA,NA,NA,NA,NA,NA,2021-02-06 21:45:00,5531,16417,NA,509,1
"A091",7,24734,2021-01-26,55.51333,-164.31583,1,15.5,39,50,116.17,111328.56,149301,NA,NA,NA,NA,3,NA,2021-01-25 21:35:00,5535,16411,"C51",509,1
"A074",55,24767,2021-02-12,56.396665,-162.40917,1,6,28,38,153.19,150208.59,183177,NA,NA,NA,NA,NA,NA,2021-02-12 17:02:00,5623,16222,"C55",516,1
"A074",108,24767,2021-02-27,56.16222,-164.6775,1,12.0833333333333,35,45,113.52,111725.13,162516,NA,NA,NA,NA,NA,NA,2021-02-27 16:26:00,5613,16438,NA,509,1
"A063",1,24702,2021-02-06,55.455415,-164.10139,3,12.0833333333333,34,47,80,77836.41,103430,NA,NA,NA,NA,NA,NA,2021-02-06 14:40:00,5530,16353,NA,509,1
"A574",1,24638,2021-01-23,55.241665,-164.34167,3,8.125,39,53,110,102171.17,124865,NA,NA,NA,NA,NA,NA,2021-01-22 23:04:00,5511,16428,NA,509,1
"A115",20,24712,2021-01-28,55.566665,-165.089165,1,2.91666666666667,36,57,168.19,167624.47,316268,NA,NA,1.99,9,4,NA,2021-01-28 14:15:00,5533,16505,NA,517,1
"A300",15,24763,2021-02-23,55.658195,-163.41875,3,21.875,43,44,120,116549.38,154824,NA,NA,NA,NA,NA,NA,2021-02-23 00:09:00,5541,16324,NA,509,1
"A254",21,24602,2021-02-20,55.415,-164.343335,3,16.3333333333333,41,53,110,98863.1,193138,NA,NA,NA,NA,NA,NA,2021-02-20 02:42:00,5524,16415,NA,509,1
"A054",22,24706,2021-02-03,55.683335,-164.19167,1,4.20833333333333,37,49,123.14,120153.88,156192,NA,NA,NA,NA,8,NA,2021-02-02 23:27:00,5542,16410,NA,509,1
"A069",28,24730,2021-01-31,56.020835,-164.614165,1,1.79166666666667,40,48,107.98,107066.1,139050,NA,NA,0.42,3,NA,NA,2021-01-31 17:15:00,5602,16435,"C52",509,1
"A069",9,24730,2021-01-27,55.72917,-164.814165,1,4.45833333333333,43,52,98.65,95156.28,132160,NA,NA,NA,NA,NA,NA,2021-01-27 07:43:00,5540,16450,NA,509,1
"A254",29,24602,2021-02-25,55.85667,-164.2275,3,13.375,37,49,140,130135.23,191317,NA,NA,NA,NA,NA,NA,2021-02-25 06:25:00,5550,16412,NA,509,5
"A054",14,24706,2021-01-31,55.883335,-164.641665,1,7,32,48,120.11,116448.2,163406,NA,NA,NA,NA,3,NA,2021-01-31 19:40:00,5551,16438,"C52",509,2
"A105",4,24761,2021-02-24,55.69917,-163.610835,1,11.25,30,46,94.13,89896.54,128425,NA,NA,NA,NA,3,NA,2021-02-24 03:30:00,5537,16338,NA,509,1
"A291",2,24753,2021-01-27,55.3,-164.275,2,8.125,41,51,42.14,35685.37,93040,NA,NA,0.69,7,NA,NA,2021-01-27 17:55:00,5521,16413,NA,509,1
"A291",59,24753,2021-02-06,55.27417,-164.3675,2,13.5416666666667,42,52,45.43,40735.46,54905,NA,NA,NA,NA,NA,NA,2021-02-06 01:29:00,5519,16418,NA,509,1
"A080",62,24719,2021-02-20,55.6825,-164.843335,1,4.75,40,50,51.94,51342.08,100670,NA,NA,NA,NA,NA,NA,2021-02-19 23:54:00,5540,16451,"C55",509,1
"A291",113,24753,2021-02-15,56.396665,-162.0725,2,21.875,30,40,25.72,21902.42,30819,NA,NA,NA,NA,NA,NA,2021-02-14 20:00:00,5627,16201,NA,516,1
"A291",31,24753,2021-02-02,55.570835,-164.33667,2,8.58333333333333,40,52,54.07,51870.89,70806,NA,NA,NA,NA,NA,NA,2021-02-02 16:59:00,5534,16422,NA,509,1
"A080",8,24719,2021-01-26,55.546665,-164.51667,1,6.75,46,51,133.49,130926.93,179349,NA,NA,0.8,3,NA,NA,2021-01-26 02:38:00,5533,16430,"C53",509,1
"A080",24,24719,2021-02-01,56.05083,-164.735,1,14.4166666666667,40,49,66.83,62253.82,83012,NA,NA,NA,NA,NA,NA,2021-02-01 12:06:00,5554,16451,NA,509,1
"A080",25,24719,2021-02-01,55.97333,-165.028335,1,7.41666666666667,40,49,105.44,101692.2,135584,NA,NA,NA,NA,NA,NA,2021-02-01 20:52:00,5557,16504,NA,509,1
"A045",94,24751,2021-02-25,55.80583,-163.46667,1,13.75,34,48,84.25,79197.4,103934,NA,NA,NA,NA,NA,NA,2021-02-25 01:00:00,5546,16315,NA,509,1
"A255",45,24756,2021-02-05,55.4,-164.05,2,5.33333333333333,38,48,60.81,58805.08,87746,NA,NA,NA,NA,NA,NA,2021-02-05 04:24:00,5524,16357,NA,509,1
"A255",46,24756,2021-02-05,55.43333,-163.991665,2,6.125,40,51,55.86,52670.86,82327,NA,NA,NA,NA,NA,NA,2021-02-05 09:36:00,5526,16354,NA,509,1
"A255",136,24756,2021-02-23,55.716665,-163.55,2,6.66666666666667,37,45,59.1,57788.34,82931,NA,NA,NA,NA,10,NA,2021-02-23 14:58:00,5541,16333,NA,509,1
"A255",124,24756,2021-02-20,55.7725,-164.7475,2,4.875,42,52,55.94,55771.92,116191,NA,NA,NA,NA,5,NA,2021-02-20 08:03:00,5546,16444,NA,509,1
"A255",56,24756,2021-02-09,55.68528,-163.642775,2,8.79166666666667,38,48,40.52,38240.03,49031,NA,NA,NA,NA,NA,NA,2021-02-09 03:40:00,5539,16341,NA,509,1
