YEAR,Bottom,Surface
1982,2.268561568,5.570839447
1983,3.022111817,8.580962989
1984,2.332630615,7.235075727
1985,2.366937933,6.626780013
1986,1.859042188,5.676074656
1987,3.219913108,6.788433935
1988,2.357164715,6.611918879
1989,2.968706017,6.663032283
1990,2.447985107,7.123981583
1991,2.697271342,7.757687967
1992,2.014153584,6.831765334
1993,3.057916595,6.985300175
1994,1.571487511,5.546172266
1995,1.743776102,6.041731632
1996,3.42355786,6.593318928
1997,2.742179568,7.828897306
1998,3.274582415,7.460991022
1999,0.828418317,3.749935971
2000,2.157805749,6.166211336
2001,2.575046007,5.817291956
2002,3.247580498,6.877016344
2003,3.812242459,7.782905986
2004,3.386655069,8.308253246
2005,3.472955522,7.224584558
2006,1.874485049,5.587430424
2007,1.786806089,6.309288707
2008,1.290313631,4.237117065
2009,1.383927962,4.671631471
2010,1.531228377,5.136970515
2011,2.467097037,5.029540587
2012,1.007851377,4.877465453
2013,1.872943109,6.245108093
2014,3.223640872,8.163586168
2015,3.362999429,7.16335043
2016,4.57600221,9.537321676
2017,2.83232398,7.834437479
2018,4.3,7.45
2019, 4.58,9.25
