Year,Pacific Cod,Yellowfin Sole,Rock Sole,Flathead Sole,Other flatfish,Other fisheries,Total
1991,10695.27,,9711.38,,6219.34,2528.62,29154.61
1992,20778.39,13100.83,9824.69,,1242.73,757.55,45704.19
1993,31299,15253.11,18582.76,,2572.33,632.12,68339.32
1994,26594.26,33200.04,15784.3,,6751.95,108.29,82438.84
1995,25691.29,27041.24,7766.3,1851.7,3309.6,113.61,65773.74
1996,22382.21,22254.63,7698.64,4082.82,1338.69,840.28,58597.27
1997,33658.04,24100.63,9123.25,2983.47,421.06,90.38,70376.83
1998,10468.81,15339.11,3960.25,2369.97,298.67,1283.44,33720.25
1999,21131.17,8701.48,5207.26,4040.65,324.47,1604.35,41009.38
2000,14508.66,13425.34,5480.98,6467.58,372.05,748.82,41003.43
2001,11570.74,16502.74,4577.63,4337.87,131.03,759.16,37879.17
2002,15255.83,14489.81,9942.46,1934.1,75.36,262.42,41959.98
2003,15926.103,11578.853,4924.536,2983.927,306.271,642.36,36362.05
2004,18650.093,10383.687,8975.937,5162.946,607.275,819.996,44599.934
2005,14109.562,10312.793,7235.358,3662.825,261.889,1334.719,36917.146
2006,15168.302,5966.926,6986.135,2663.535,53.3,1252.492,32090.69
2007,20319.683,4020.85,3245.027,3417.651,319.612,892.158,32214.981
2008,9533.71,9827.916,4930.628,4102.526,6.729,730.213,29131.722
2009,7875.521,7036.651,6171.64,3160.548,20.029,338.264,24602.653
2010,6406.995359,5156.40712,6097.1662,2997.11713,3.6921,402.0198579,21063.39777
2011,8991.02262,8673.65074,6931.31148,1473.59278,1.55567,1128.874445,27200.00773
2012,8383.738273,11199.49824,6703.63185,903.03514,14.36966,1248.010752,28452.28391
2013,9101.26616,20171.60024,7327.95243,2010.26952,33.28782,2242.006494,40886.38266
2014,11511.52846,24700.98603,11270.14398,4106.4827,8.55572,2491.504026,54089.20091
2015,9077.293692,21281.59379,9381.86806,2632.66813,27.32279,2762.29988,45163.04634
2016,9094.636816,22306.39667,11848.19957,1666.25615,49.61856,2422.837536,47387.9453
2017,8346.340319,23414.44227,5616.41546,1956.00729,149.97246,2014.469051,41497.64685
2018,8061.884307,28235.66649,5182.03117,2833.35856,4.80358,1643.866686,45961.61079
2019,4936.345732,19828.57216,3085.26285,6851.13622,73.35932,979.6084095,35754.28469
,,,,,,,
