"","Stock","Alt","Sim","Yr","SSB","Rec","Tot_biom","SPR_Implied","F","Ntot","Catch","ABC","OFL","AvgAge","AvgAgeTot","SexRatio"
"1","EBS_Pollock_2019",1,1,2019,3225.45,26944.9,11132.8,0.537292,0.225974,10239,1390,2440.6,3033.86,4.91488,2.29933,0.5
"2","EBS_Pollock_2019",1,1,2020,2696.32,20631.2,10682.7,0.4,0.438439,8986.7,2045.03,2045.03,2538.93,4.30928,2.29565,0.5
"3","EBS_Pollock_2019",1,1,2021,2214.6,13284.6,10026.5,0.422823,0.389262,7841.83,1375.36,1375.36,1695.02,3.75545,2.5557,0.5
"4","EBS_Pollock_2019",1,1,2022,2215.2,21135.8,9946.14,0.422763,0.389382,8330.48,1233.12,1233.12,1528.37,3.66472,2.3205,0.5
"5","EBS_Pollock_2019",1,1,2023,2340.27,49371.6,9770.39,0.411494,0.412678,8899.93,1345.43,1345.43,1666.34,3.91505,1.76475,0.5
"6","EBS_Pollock_2019",1,1,2024,2266.55,14390.5,10325.5,0.418032,0.39894,8464.26,1432.95,1432.95,1769.69,3.82745,2.35817,0.5
"7","EBS_Pollock_2019",1,1,2025,2149.43,34424.2,11509.1,0.429061,0.377125,8075.53,1284.18,1284.18,1588.57,3.12577,2.07428,0.5
"8","EBS_Pollock_2019",1,1,2026,2536.95,48739.4,12375.2,0.4,0.438439,10213.1,1387.14,1387.14,1739.1,3.40664,1.90021,0.5
"9","EBS_Pollock_2019",1,1,2027,2877.7,8224.87,13704.3,0.4,0.438439,11285.7,1654.85,1654.85,2085.8,3.56126,2.7338,0.5
"10","EBS_Pollock_2019",1,1,2028,2942.34,13927.5,14567.1,0.4,0.438439,11670,2060.41,2060.41,2575.99,3.22748,2.82456,0.5
"11","EBS_Pollock_2019",1,1,2029,3249.04,25844.6,13611.7,0.4,0.438439,12967.3,1798.84,1798.84,2261.39,3.74643,2.42245,0.5
"12","EBS_Pollock_2019",1,1,2030,3342.53,61460.6,12515,0.4,0.438439,12702,2180.73,2180.73,2736.89,4.28658,1.75563,0.5
"13","EBS_Pollock_2019",1,1,2031,2767.97,8140.63,12312.2,0.4,0.438439,10236.7,2248.28,2248.28,2802.86,3.94054,2.5659,0.5
"14","EBS_Pollock_2019",1,1,2032,2355.26,38312.9,13071.6,0.410204,0.415465,8740.61,1503.07,1503.07,1847.04,3.01083,2.09391,0.5
"15","EBS_Pollock_2019",1,2,2019,3225.45,17825.3,11132.8,0.537292,0.225974,10239,1390,2440.6,3033.86,4.91488,2.60341,0.5
"16","EBS_Pollock_2019",1,2,2020,2696.32,15661,10453,0.4,0.438439,8986.7,2045.03,2045.03,2538.92,4.32558,2.50682,0.5
"17","EBS_Pollock_2019",1,2,2021,2212.32,5625.17,9210.88,0.423037,0.388836,7812.17,1373.67,1373.67,1692.99,4.02221,3.04346,0.5
