,Year,Bairdi Tanner Crab,Chinook Salmon,Halibut,Herring,Non-Chinook Salmon,Opilio Tanner (Snow) Crab,Other King Crab,Red King Crab,Blue King Crab,Golden (Brown) King Crab
1,1991,1398112.29,40905.73,2159.77432,3159.25177,28951.03,4380024.99,33431.42,17777.24,NA,NA
2,1992,1501800.83,35950.2,2221.41724,647.01294,40274.47,4570741.37,20386.9,43873.72,NA,NA
3,1993,1649103.51,38516.25,1326.11923,527.49721,242190.94,738260.04,1925.96,58140.42,NA,NA
4,1994,371237.61,33136.02,963.41654,1626.56069,92672.34,811757.84,513.98,42360.72,NA,NA
5,1995,153995.28,14983.71,492.28276,904.89944,19263.53,206654.01,941.11,4645.59,NA,NA
6,1996,89415.72,55622.6,382.07136,1241.85332,77236.2,63398.45,215.47,5933.78,NA,NA
7,1997,17247.58,44908.78,260.76137,1134.54439,65987.54,216152.39,393.19,137.19,NA,NA
8,1998,57041.53,51322.34,353.21029,800.75295,64041.83,123405.13,5093.31,14286.92,NA,NA
9,1999,2397.16,10381.36,153.97018,799.5502,44610.27,15829.99,7.19,90.57,NA,NA
10,2000,1484.99,4242.2,110.45643,482.75115,56866.85,6480.88,121.06,0,NA,NA
11,2001,5060.95,30937.47,242.5978,225.2769,53903.76,5653.46,5139.36,105.56,NA,NA
12,2002,2112.98,32401.73,165.18554,108.58378,77177.71,2697.66,193.75,16.73,NA,NA
13,2003,732.0562638,43095.76621,88.82844926,967.2224001,179987.9812,608.2383486,NA,52.01928844,8.77686927,0
14,2004,1091.335224,48799.08667,96.48414164,1095.977904,441188.4068,640.9412908,NA,26.08366625,4.00002584,1.782334381
15,2005,601.2210531,66251.34273,119.9438363,593.9276265,703093.4518,2016.075067,NA,0,0,1.224677265
16,2006,1289.456793,81015.41678,132.3934026,433.6478244,305795.2902,2568.961615,NA,289.6564646,0,3.35231573
17,2007,1466.585597,116585.3633,314.5712684,351.5842838,86393.98184,3037.780056,NA,7.54806311,0,3.007815162
18,2008,9025.430954,20667.92059,375.031327,127.838862,15119.71563,8894.264173,NA,670.7606399,8.015951843,33.0945371
19,2009,6155.770631,12288.90968,541.5589772,64.96271662,45960.07868,7314.155353,NA,1136.622591,19.98568149,0
20,2010,13115.19914,9848.085362,340.4583214,348.9436319,13729.04074,9509.044179,NA,1134.099018,28.78079922,0
21,2011,10973.41118,25499,459.8279273,376.8723651,193754,6493.324564,NA,577,25.99999999,0
22,2012,5620.617754,11343,462.8733174,2352.512711,22297,6189.12941,NA,343.9999999,0,0
23,2013,12426.73244,13091,334.3931294,958.9417338,125525.0958,8605.197772,NA,507.9361917,34.00138913,147.0009261
24,2014,12521.90687,15135,239.1142832,159.5017067,219837,19454.51965,NA,368.4166922,0,148
25,2015,8872.36194,18329,152.2559611,1487.405824,237803,8339.48776,NA,0,0,0
26,2016,2295.094182,22283.42732,121.4393283,1431.214824,343208,1166.07342,NA,439.5240115,0,106.43089
27,2017,7269.826004,30078.74337,97.46950892,963.5879228,467750.2019,3406.584846,NA,202.5236853,0,67.48579054
28,2018,2232.807829,13740.41392,75.4857885,472.5064211,295820.3783,5142.705475,NA,565.2280518,0,616
29,2019,3146.310981,25038,133.7572282,1101.624415,348631,6228.455229,NA,453.2994537,99.32047457,445
30,2020,10296.29145,30414.45986,121.9881489,3575.45645,310167.5064,39958.96086,NA,428.1704733,0,516.8061768
