"ABC","Scenario 1","Scenario 2","Scenario 3","Scenario 4","Scenario 5","Scenario 6","Scenario 7"
2019,2440.6,2440.6,1507.42,1076,0,3033.86,3033.86
2020,2045.03215,2045.03215,1265.75946,904.401722,0,2538.92467,2538.92467
2021,1374.80975,1715.92744,1088.09946,828.108731,0,1427.98836,1694.3548
2022,1201.79626,1471.43369,1006.461776,792.209998,0,1262.66902,1493.23472
2023,1265.272303,1360.116789,1033.824101,825.814119,0,1370.039694,1440.351651
2024,1429.994369,1464.646886,1139.328432,915.348782,0,1564.685379,1584.822392
2025,1514.295473,1528.103086,1208.954998,978.698231,0,1645.160624,1650.553756
2026,1559.853916,1567.752208,1260.113773,1028.121567,0,1678.569973,1680.21432
2027,1583.890263,1589.354279,1295.670747,1063.949233,0,1692.924611,1693.577809
2028,1590.457106,1594.297963,1314.135824,1084.411256,0,1694.314304,1694.540994
2029,1570.112561,1574.183642,1305.978221,1083.299226,0,1666.046913,1666.095077
2030,1567.532128,1571.270312,1310.149434,1089.643097,0,1664.009574,1663.999873
2031,1555.832359,1558.020401,1304.425239,1087.560219,0,1652.285527,1652.267605
2032,1553.135543,1554.513946,1301.943229,1086.78125,0,1649.445441,1649.43158
