"F","Scenario 1","Scenario 2","Scenario 3","Scenario 4","Scenario 5","Scenario 6","Scenario 7"
2020,0.191339,0.191339,0.191339,0.191339,0.191339,0.191339,0.191339
2021,0.369916,0.23593739,0.247302,0.139457,0,0.495889,0.369916
2022,0.331160531,0.272901189,0.247302,0.139457,0,0.406561169,0.331160531
2023,0.327717708,0.350478822,0.247302,0.139457,0,0.404593456,0.433501837
2024,0.329058078,0.335808184,0.247302,0.139457,0,0.413679905,0.421086938
2025,0.331582567,0.333472796,0.247302,0.139457,0,0.421330325,0.423219866
2026,0.334560925,0.334656384,0.247302,0.139457,0,0.426428252,0.4269711
2027,0.33638212,0.335739712,0.247302,0.139457,0,0.428813384,0.429013521
2028,0.336014052,0.335479822,0.247302,0.139457,0,0.427400638,0.427477606
2029,0.334791584,0.333824334,0.247302,0.139457,0,0.42503524,0.425061395
2030,0.335156183,0.334233361,0.247302,0.139457,0,0.424703657,0.424712075
2031,0.33442378,0.333893756,0.247302,0.139457,0,0.423485726,0.423487462
2032,0.334027264,0.333974387,0.247302,0.139457,0,0.423570495,0.42357018
2033,0.333723603,0.333374463,0.247302,0.139457,0,0.422520571,0.422520001
