"SSB","Scenario 1","Scenario 2","Scenario 3","Scenario 4","Scenario 5","Scenario 6","Scenario 7"
2019,3225.45,3225.45,3225.45,3225.45,3225.45,3225.45,3225.45
2020,2696.32,2803.85006,2775.38,2866.39,2981.2,2610.72,2696.32
2021,2213.85315,2496.55312,2429.07707,2741.27236,3204.51933,2011.78267,2213.85315
2022,2177.81899,2386.88203,2395.7914,2821.97293,3547.1118,1988.01626,2135.23592
2023,2323.52958,2408.5595,2537.70135,3039.21836,3988.50125,2133.66177,2183.16452
2024,2459.00138,2494.47856,2688.59369,3251.50902,4405.14764,2251.88559,2267.76936
2025,2532.18575,2549.5145,2791.56523,3415.09788,4775.24997,2301.80428,2307.27222
2026,2581.55537,2592.30665,2870.48807,3547.99645,5104.96488,2333.44604,2335.6221
2027,2594.82288,2601.90458,2904.38368,3623.19933,5352.75338,2337.50607,2338.41293
2028,2583.3045,2588.69325,2905.33426,3655.14586,5532.21618,2321.68092,2322.03273
2029,2571.42474,2576.72868,2899.9839,3671.62437,5669.62317,2309.0836,2309.1879
2030,2558.88322,2563.07133,2890.3776,3676.28946,5774.24917,2297.85087,2297.8676
2031,2557.51478,2559.91559,2888.76524,3684.02741,5865.99246,2297.95459,2297.94898
2032,2570.18371,2572.04879,2900.43253,3702.04884,5952.74794,2311.71356,2311.70502
