"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1982,1,"All",3155244.06731756,0.0982064649942598,309865.366045368
1983,1,"All",7915753.43619072,0.0910691883171236,720881.240352371
1984,1,"All",5649588.64898109,0.0943867698508151,533246.423563156
1985,1,"All",6516639.98442047,0.103502219418761,674486.701540557
1986,1,"All",6006998.42131409,0.0978579735721431,587832.69276086
1987,1,"All",6330994.89872813,0.10561722008732,668662.081590667
1988,1,"All",9020484.61682961,0.105038319548071,947496.545661009
1989,1,"All",8591409.62320365,0.0963429397262681,827721.659491989
1990,1,"All",9594469.16093048,0.116966400620318,1122230.52361668
1991,1,"All",6123277.08872424,0.0965521979398741,591215.861511199
1992,1,"All",5454221.67309992,0.0970979802132856,529593.90809353
1993,1,"All",6526587.25500423,0.0891908996131982,582112.188677862
1994,1,"All",6115183.41737586,0.0940499825592987,575132.893751112
1995,1,"All",5520878.63516234,0.0984928959538659,543767.324986966
1996,1,"All",3366524.41461587,0.0845102212820488,284505.723230607
1997,1,"All",4141776.94033245,0.0869619727484584,360177.093415384
1998,1,"All",3232072.7695254,0.102737296922624,332054.41979826
1999,1,"All",4282473.35161516,0.0976917555482047,418362.339807689
2000,1,"All",6576171.31081661,0.0995895870450802,654918.185181929
2001,1,"All",5006882.40726729,0.0920583368235247,460925.267083991
2002,1,"All",5807454.63057437,0.083154078715842,482913.539489462
2003,1,"All",9368193.6925108,0.0881754019127493,826044.244033623
2004,1,"All",4677277.46884927,0.0859981657772624,402237.283152353
2005,1,"All",5765171.61488799,0.0929782199768884,536035.394613568
2006,1,"All",3322814.69651355,0.0895776783278984,297650.026027504
2007,1,"All",5275884.53809628,0.108962140375734,574871.671646214
2008,1,"All",3484933.4139103,0.109488827386372,381561.273008625
2009,1,"All",2400479.03431292,0.114798629955432,275571.704375862
2010,1,"All",4264995.75853435,0.109248346271814,465943.733476178
2011,1,"All",3734333.50549495,0.0976090809604676,364504.861471243
2012,1,"All",3961915.30367684,0.0859341453713723,340463.80565523
2013,1,"All",5101067.41350226,0.0879211854562025,448491.894087124
2014,1,"All",10172619.0560614,0.0831603555433911,845958.617509543
2015,1,"All",8612479.42303295,0.0869931909229807,749227.066768149
2016,1,"All",7394596.66301666,0.133597140937414,987896.972564373
2017,1,"All",7085754.53507383,0.0692020373494579,490348.649985269
2018,1,"All",4416384.88995281,0.0850334654425288,375540.511920709
1982,1,"EBS",3145957.90440753,0.0983757526008479,309485.976496677
1983,1,"EBS",7796902.75027564,0.0904099335768395,704917.459757498
1984,1,"EBS",5621423.51556345,0.0942135042882072,529614.008489366
1985,1,"EBS",6282448.49871177,0.104762340810563,658164.010746854
1986,1,"EBS",5941376.55165185,0.0978503191761569,581365.591924868
1987,1,"EBS",6290190.39964281,0.10600135632787,666768.713922687
1988,1,"EBS",9007995.67246447,0.105168025691721,947353.120312657
1989,1,"EBS",8503750.93054739,0.0969624151586818,824544.228133763
1990,1,"EBS",9564341.68097133,0.117242509163163,1121347.41717091
1991,1,"EBS",6000717.53423203,0.098340484356576,590113.468803377
1992,1,"EBS",5418280.96872142,0.0973285409619853,527353.381207748
1993,1,"EBS",6440730.86281268,0.089608392039124,577143.536173404
1994,1,"EBS",6071875.20572562,0.094367763970034,572989.286269417
1995,1,"EBS",5488373.09628548,0.0988521857876074,542537.676985719
1996,1,"EBS",3283717.27439157,0.0846380404189984,277927.395394517
1997,1,"EBS",4034986.67665541,0.0864145618485013,348681.605727718
1998,1,"EBS",3011079.29271883,0.0981418159423901,295512.789733953
1999,1,"EBS",4253807.77556941,0.0980652737319422,417150.823914278
2000,1,"EBS",6530323.85136967,0.0999871585096777,652948.526046429
2001,1,"EBS",4966880.54100047,0.0925326753253814,459598.744480351
