"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1983,1,"All_areas",228509.329859181,0.310189601706334,70881.2180152006
1984,1,"All_areas",201153.28688553,0.894147807158558,179860.770371433
1985,1,"All_areas",201153.28688553,0.894147807158558,179860.770371433
1986,1,"All_areas",181333.959017058,0.29132829438913,52827.7129952679
1987,1,"All_areas",201153.28688553,0.894147807158558,179860.770371433
1988,1,"All_areas",201153.28688553,0.894147807158558,179860.770371433
1989,1,"All_areas",201153.28688553,0.894147807158558,179860.770371433
1990,1,"All_areas",201153.28688553,0.894147807158558,179860.770371433
1991,1,"All_areas",409614.145961136,0.258206027178543,105764.841304757
1992,1,"All_areas",201153.28688553,0.894147807158558,179860.770371433
1993,1,"All_areas",201153.28688553,0.894147807158558,179860.770371433
1994,1,"All_areas",393599.998212853,0.258532976116384,101758.578937372
1995,1,"All_areas",201153.28688553,0.894147807158558,179860.770371433
1996,1,"All_areas",201153.28688553,0.894147807158558,179860.770371433
1997,1,"All_areas",450295.005109949,0.440956331858988,198560.433707707
1998,1,"All_areas",201153.28688553,0.894147807158558,179860.770371433
1999,1,"All_areas",201153.28688553,0.894147807158558,179860.770371433
2000,1,"All_areas",437212.926257271,0.301237409510018,131704.889310035
2001,1,"All_areas",201153.28688553,0.894147807158558,179860.770371433
2002,1,"All_areas",687455.330256389,0.187921290032746,129187.492501668
2003,1,"All_areas",201153.28688553,0.894147807158558,179860.770371433
2004,1,"All_areas",1687269.56530281,0.296460609545348,500208.963796985
2005,1,"All_areas",201153.28688553,0.894147807158558,179860.770371433
2006,1,"All_areas",803539.423374423,0.306314082636108,246135.441332883
2007,1,"All_areas",201153.28688553,0.894147807158558,179860.770371433
2008,1,"All_areas",201153.28688553,0.894147807158558,179860.770371433
2009,1,"All_areas",201153.28688553,0.894147807158558,179860.770371433
2010,1,"All_areas",998717.467318282,0.22858794976526,228294.778249039
2011,1,"All_areas",201153.28688553,0.894147807158558,179860.770371433
2012,1,"All_areas",409996.105846478,0.266698020326811,109345.149770957
2013,1,"All_areas",201153.28688553,0.894147807158558,179860.770371433
2014,1,"All_areas",725460.884131663,0.204569739105683,148407.343798192
2015,1,"All_areas",201153.28688553,0.894147807158558,179860.770371433
2016,1,"All_areas",388901.297736185,0.283014761002326,110064.807832301
