Age	Year	N	Source
1	1982	1041757.104	VAST
1	1983	4494246.238	VAST
1	1984	454833.1093	VAST
1	1985	4571554.355	VAST
1	1986	2581863.673	VAST
1	1987	401676.6689	VAST
1	1988	1274590.179	VAST
1	1989	901533.912	VAST
1	1990	1984403.959	VAST
1	1991	3401467.577	VAST
1	1992	1641104.655	VAST
1	1993	2605789.441	VAST
1	1994	1372549.563	VAST
1	1995	1426018.276	VAST
1	1996	1643343.931	VAST
1	1997	2091644.396	VAST
1	1998	717044.5981	VAST
1	1999	956234.3343	VAST
1	2000	926811.9785	VAST
1	2001	1781621.44	VAST
1	2002	845649.7161	VAST
1	2003	444874.0658	VAST
1	2004	396372.6049	VAST
1	2005	370285.9562	VAST
1	2006	855157.1398	VAST
1	2007	2401693.399	VAST
1	2008	487432.6307	VAST
1	2009	751825.5843	VAST
1	2010	416035.4866	VAST
1	2011	1178713.135	VAST
1	2012	1214720.048	VAST
1	2013	1265369.463	VAST
1	2014	2009085.428	VAST
1	2015	1142341.873	VAST
1	2016	683633.9898	VAST
1	2017	786529.2005	VAST
1	2018	1400730.006	VAST
2	1982	2411915.396	VAST
2	1983	661567.8706	VAST
2	1984	275276.7866	VAST
2	1985	580424.8931	VAST
2	1986	563291.2637	VAST
2	1987	649609.2504	VAST
2	1988	634993.254	VAST
2	1989	314072.0735	VAST
2	1990	296473.7846	VAST
2	1991	689939.0125	VAST
2	1992	339021.0206	VAST
2	1993	344631.5854	VAST
2	1994	542028.1343	VAST
2	1995	137994.7708	VAST
2	1996	364096.7549	VAST
2	1997	344967.7913	VAST
2	1998	561710.9595	VAST
2	1999	787122.7918	VAST
2	2000	325255.1088	VAST
2	2001	882940.72	VAST
2	2002	386133.285	VAST
2	2003	141143.2136	VAST
2	2004	242026.1969	VAST
2	2005	123278.5486	VAST
2	2006	65717.02427	VAST
2	2007	56265.00661	VAST
2	2008	106409.6169	VAST
2	2009	183781.0212	VAST
2	2010	109857.2401	VAST
2	2011	111273.0773	VAST
2	2012	196202.8567	VAST
2	2013	109807.6411	VAST
2	2014	430227.5875	VAST
2	2015	757337.7893	VAST
2	2016	375932.7786	VAST
2	2017	274706.1555	VAST
2	2018	457836.5327	VAST
3	1982	2705262.47	VAST
3	1983	1757039.748	VAST
3	1984	463984.769	VAST
3	1985	2011120.4	VAST
3	1986	514270.8004	VAST
3	1987	922035.7838	VAST
3	1988	1690464.388	VAST
3	1989	537617.6949	VAST
3	1990	113551.8554	VAST
3	1991	239088.9795	VAST
3	1992	1756544.079	VAST
3	1993	857550.36	VAST
3	1994	441176.4233	VAST
3	1995	348699.8529	VAST
3	1996	156740.6033	VAST
3	1997	155373.6734	VAST
3	1998	312631.1897	VAST
3	1999	791494.3307	VAST
3	2000	458762.9411	VAST
3	2001	498326.0941	VAST
3	2002	828089.4664	VAST
3	2003	946045.7013	VAST
3	2004	173377.6649	VAST
3	2005	204233.2805	VAST
3	2006	92187.52778	VAST
3	2007	153853.7111	VAST
3	2008	95720.00295	VAST
3	2009	362378.4205	VAST
3	2010	228864.8977	VAST
3	2011	231258.6666	VAST
3	2012	397252.4657	VAST
3	2013	228906.2692	VAST
3	2014	241936.3534	VAST
3	2015	2153913.811	VAST
3	2016	614754.9452	VAST
3	2017	445462.1336	VAST
3	2018	194832.7603	VAST
4	1982	3914119.245	VAST
4	1983	3506672.378	VAST
4	1984	1379074.092	VAST
4	1985	803420.7762	VAST
4	1986	1765231.959	VAST
4	1987	696658.6341	VAST
4	1988	3303557.213	VAST
4	1989	1859892.871	VAST
4	1990	748766.5824	VAST
4	1991	91273.57273	VAST
4	1992	321294.5943	VAST
4	1993	3776695.458	VAST
4	1994	1363750.728	VAST
4	1995	1603401.584	VAST
4	1996	317108.2028	VAST
4	1997	194843.0055	VAST
4	1998	215683.6517	VAST
4	1999	881541.5548	VAST
4	2000	1564087.821	VAST
4	2001	516147.8871	VAST
4	2002	1185649.296	VAST
4	2003	1619919.309	VAST
4	2004	1380308.187	VAST
4	2005	975815.0502	VAST
4	2006	329129.6815	VAST
4	2007	426287.7885	VAST
4	2008	173650.8856	VAST
4	2009	406579.4735	VAST
4	2010	2662289.403	VAST
4	2011	330214.6016	VAST
4	2012	3310492	VAST
4	2013	977865.9432	VAST
4	2014	370262.2309	VAST
4	2015	570832.4358	VAST
4	2016	3350428.301	VAST
4	2017	2318064.195	VAST
4	2018	384864.3421	VAST
5	1982	1341447.471	VAST
5	1983	7615579.758	VAST
5	1984	1774249.495	VAST
5	1985	3045547.181	VAST
5	1986	1038312.414	VAST
5	1987	4289244.742	VAST
5	1988	1447643.472	VAST
5	1989	4279470.814	VAST
5	1990	1522570.977	VAST
5	1991	524314.2783	VAST
5	1992	391699.0392	VAST
5	1993	847841.3059	VAST
5	1994	3839090.577	VAST
5	1995	2155861.877	VAST
5	1996	838831.7862	VAST
5	1997	2576394.76	VAST
5	1998	437973.3	VAST
5	1999	507117.9019	VAST
5	2000	1618509.015	VAST
5	2001	1328130.356	VAST
5	2002	1247105.176	VAST
5	2003	1944915.305	VAST
5	2004	1375020.828	VAST
5	2005	2860334.577	VAST
5	2006	891756.2221	VAST
5	2007	1284983.024	VAST
5	2008	507139.5365	VAST
5	2009	254499.0084	VAST
5	2010	1237983.782	VAST
5	2011	1717392.22	VAST
5	2012	749482.4824	VAST
5	2013	4878152.212	VAST
5	2014	1804672.081	VAST
5	2015	1229008.061	VAST
5	2016	1433485.149	VAST
5	2017	3066813.674	VAST
5	2018	2629605.206	VAST
6	1982	174214.3377	VAST
6	1983	2336528.056	VAST
6	1984	4330962.682	VAST
6	1985	2178999.158	VAST
6	1986	1760153.942	VAST
6	1987	1225342.636	VAST
6	1988	4697692.434	VAST
6	1989	871081.6197	VAST
6	1990	5094719.634	VAST
6	1991	521232.1313	VAST
6	1992	657705.1479	VAST
6	1993	685963.202	VAST
6	1994	681568.8319	VAST
6	1995	3377799.209	VAST
6	1996	1177526.916	VAST
6	1997	1349346.931	VAST
6	1998	2553353.475	VAST
6	1999	902296.9913	VAST
6	2000	854787.0633	VAST
6	2001	1368281.564	VAST
6	2002	1591433.549	VAST
