"","y1982","y1983","y1984","y1985","y1986","y1987","y1988","y1989","y1990","y1991","y1992","y1993","y1994","y1995","y1996","y1997","y1998","y1999","y2000","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","y2011","V31","V32","V33","V34"
"y1982",6023011.30465398,2539185.20433425,1619924.69682258,2603538.23464265,1288493.14230076,1497450.69199783,3012886.37588368,2030657.26690226,2310138.71984952,1212090.03544426,1041876.05590786,1338207.09897542,1246212.37799614,1702071.33759995,682099.918802133,1454330.16239326,689685.52826566,1126327.81873495,1684063.77612732,912726.714357915,1118562.05646093,1802807.43662781,806378.18877632,1289628.0687989,458029.653948218,1085069.67192453,548051.553568476,425256.769157666,835460.823999791,512751.534150957,793091.522529452,1052432.17236862,1716081.96130211,1612331.46567569
"y1983",2539185.20433425,7530050.19425317,2230645.53305745,3846430.08791207,2199240.99156293,2488151.37643704,3911208.49220301,3439668.3361192,3605653.66203987,2016029.2995447,1541674.21661489,2119420.7145838,2257232.63577968,2939412.37820557,1131184.47764792,1901338.13044142,1306031.88648814,1874620.8888228,2222683.55096686,1389808.48487152,2207253.09554975,2944501.78303125,1093891.19254001,2133337.90697942,812438.043606415,1623548.11571097,818236.924202993,680017.622117271,1255987.49104429,815010.210529825,1475320.25636637,1716014.82536451,2920701.2789405,2420589.52124639
"y1984",1619924.69682258,2230645.53305745,3230886.00794809,2663732.3542368,1272691.05652504,1569758.98632754,2321497.98393749,2038622.91080577,2204510.49391717,1175407.30313536,927487.330092044,1364220.38815924,1370128.42717007,1421368.03653377,734828.554990962,1022553.56558751,669924.819368182,1142611.95252673,1320548.26573757,850169.116479324,1155399.78483557,1676300.4858764,667256.171212644,1295042.00347889,462267.997940504,952373.866441224,531142.753547051,416273.790798795,698752.497639311,552823.574957153,806257.892673279,1048081.94058979,1852544.60976252,1591977.83554925
"y1985",2603538.23464265,3846430.08791207,2663732.3542368,12520300.3289026,2299735.13583019,2815493.93489452,4384439.71416973,3687037.87171101,3854804.89635688,1982477.70991818,1881049.69422545,2337757.07285231,2221180.64073564,3125490.49698661,1371718.39576158,2097943.92016834,1219880.56374607,1904320.77637187,2378475.12746972,1384818.49823295,2187971.54149226,3076885.42894243,1070596.63200646,2238620.09538502,818702.93781238,1772129.17268832,804275.802572022,725711.989966933,1195571.79948419,981582.359384597,1440848.0534115,1759984.99850015,2999440.19465438,2382015.24660739
"y1986",1288493.14230076,2199240.99156293,1272691.05652504,2299735.13583019,3392829.27467154,1365129.0289655,2560429.61240478,2080528.84171716,2279604.15787455,1077228.84077639,941603.567028567,1108735.24797333,1488167.82974021,1773792.87080719,747227.70153742,1089858.09315953,632362.990904817,1229153.52934996,1424369.07462607,833126.322169044,1241579.90483262,1771014.23554491,691048.264856152,1246080.84654692,401605.596019827,963580.422624588,476108.246413042,404458.611003203,720234.608927016,504150.828089487,897761.256848781,1047188.07028725,1853123.577738,1430719.96079914
"y1987",1497450.69199783,2488151.37643704,1569758.98632754,2815493.93489452,1365129.0289655,6655373.017243,3054300.85984881,2276427.89358688,2500052.35297171,1321613.05401351,1081632.33903473,1563891.93856262,1390522.03230266,1925425.78682355,841413.535890402,1322409.54750776,866857.281646651,1310805.32056082,1537486.6512177,1013526.51277632,1214967.66693565,2616390.94676753,857279.505550364,1325445.63787591,516199.548559416,1099995.33789025,610237.126155355,463238.663459044,893273.99263464,686200.484610297,870709.201025154,1030904.53043433,2010884.52273271,1639260.5015813
"y1988",3012886.37588368,3911208.49220301,2321497.98393749,4384439.71416973,2560429.61240478,3054300.85984881,14196911.4106769,3750542.55949163,3658671.59206084,1948810.86706405,1891093.83681429,2348749.94829157,2684451.03819257,2707003.30107649,1441329.77928673,1741732.57601713,1258864.4506632,2065377.03980108,2396651.79697224,1605422.82437728,2165986.60696945,3218337.86271041,1367944.61477206,2041742.99148299,907058.523057519,1845372.5997821,929490.119901377,792751.622400444,1474134.84677779,840971.020082845,1447778.64420337,2025012.33629682,3225208.89659407,2674697.91289799
"y1989",2030657.26690226,3439668.3361192,2038622.91080577,3687037.87171101,2080528.84171716,2276427.89358688,3750542.55949163,7178696.0308144,3145832.50350223,1914814.53404128,1585687.45680252,1965595.41408653,2217176.66547964,2602306.2854621,1061707.53686269,1837600.01405425,1044820.68635545,1617007.40257077,2141641.26644851,1227855.88661873,1828834.55425659,2225308.59350614,1109291.77059252,1807611.03364034,664101.236924068,1431838.61827725,666590.072061841,584359.895107714,1195551.23137741,809804.734232253,1221331.30571914,1573297.98919148,2572138.7218379,2143589.72603212
"y1990",2310138.71984952,3605653.66203987,2204510.49391717,3854804.89635688,2279604.15787455,2500052.35297171,3658671.59206084,3145832.50350223,11319749.3721316,1956022.2509332,1380259.90253017,1854295.47970263,1998526.72292478,2713958.06807418,1118044.83140379,1728026.69165329,1065556.22038054,1674196.39976531,1845262.47185558,1324549.1860967,1952342.03151368,2412854.41762295,1041356.06253058,2101020.99849177,638478.663506242,1399055.3245728,757844.725009236,609791.432879025,1193350.89412467,819308.146514793,1311914.56823907,1527669.43913103,2682829.68586992,2298603.12703122
"y1991",1212090.03544426,2016029.2995447,1175407.30313536,1982477.70991818,1077228.84077639,1321613.05401351,1948810.86706405,1914814.53404128,1956022.2509332,2949097.96016843,911202.371650752,1054785.88543774,1077987.23251375,1287887.0885648,586575.809788461,986050.539179884,560814.393006849,953910.260401389,1085465.32119562,744394.996015036,989986.118514768,1374089.67161216,597290.95563716,908720.113424482,402469.321901791,815728.754774442,385907.353651382,357613.812945566,657471.617279062,469937.593941459,648013.157904906,855304.142994538,1435486.22991839,1222803.71528202
"y1992",1041876.05590786,1541674.21661489,927487.330092044,1881049.69422545,941603.567028567,1081632.33903473,1891093.83681429,1585687.45680252,1380259.90253017,911202.371650752,2671564.34514671,1013519.36990188,957687.395508236,1294600.65955208,541119.878901955,852146.340118197,501899.31433825,879760.646276731,1038413.43004347,674939.66986295,912789.909137284,1158480.45970631,504277.396131027,981279.77140266,331838.46840051,738859.909871773,357335.047589829,311188.252137267,688920.912616917,325986.190498004,601897.990995332,715352.991911177,1230440.91697731,1069801.96094244
"y1993",1338207.09897542,2119420.7145838,1364220.38815924,2337757.07285231,1108735.24797333,1563891.93856262,2348749.94829157,1965595.41408653,1854295.47970263,1054785.88543774,1013519.36990188,3526709.30677147,1439262.54791649,1380048.28889844,671864.500718319,1174749.39850328,683106.507549842,963279.415583723,1218211.14280466,806334.45857664,1067988.71185691,1815592.35024171,728729.0484656,1290554.31312996,429318.440514861,908865.185201021,468383.179270365,405007.052340312,645884.977353332,515318.117911927,810354.861188942,1069729.14543472,1547048.31308424,1511095.71966269
"y1994",1246212.37799614,2257232.63577968,1370128.42717007,2221180.64073564,1488167.82974021,1390522.03230266,2684451.03819257,2217176.66547964,1998526.72292478,1077987.23251375,957687.395508236,1439262.54791649,4491669.91684488,1467046.93753054,766449.80383423,999316.611142413,693743.217297078,948593.724272832,1241943.43841582,845407.512989305,1193391.17932491,2095907.83196306,703790.76210634,1186513.5314943,441491.512057053,912906.4491909,545502.269726215,375742.344151635,760684.117387741,526258.88421396,846248.655987799,1093013.71405321,1861227.49736613,1463045.26459834
"y1995",1702071.33759995,2939412.37820557,1421368.03653377,3125490.49698661,1773792.87080719,1925425.78682355,2707003.30107649,2602306.2854621,2713958.06807418,1287887.0885648,1294600.65955208,1380048.28889844,1467046.93753054,16322010.938404,656785.275166008,1460032.10544622,613727.563868843,1332740.03138492,1705225.30867267,988630.474957131,1586446.80412937,2112034.90206243,615533.423310872,1357823.48959994,617057.408730348,927251.751625327,547844.659284651,574570.841416132,960081.041942143,545384.678963828,1035476.33947075,1116001.15077395,2074856.01128809,1704716.31379384
"y1996",682099.918802133,1131184.47764792,734828.554990962,1371718.39576158,747227.70153742,841413.535890402,1441329.77928673,1061707.53686269,1118044.83140379,586575.809788461,541119.878901955,671864.500718319,766449.80383423,656785.275166008,1070602.1332663,528980.856252545,350278.171117653,659924.451710113,695443.672397896,406031.499427696,695016.841849486,810820.266699555,353343.272680735,690803.659121211,224102.130615923,551729.013847311,269427.331987159,192942.11383282,373914.838272847,297139.116448616,453406.129748263,503798.325239632,893352.778748409,800531.878814924
"y1997",1454330.16239326,1901338.13044142,1022553.56558751,2097943.92016834,1089858.09315953,1322409.54750776,1741732.57601713,1837600.01405425,1728026.69165329,986050.539179884,852146.340118197,1174749.39850328,999316.611142413,1460032.10544622,528980.856252545,4283850.66123269,522612.202514266,1000513.79927905,1060515.6137634,682624.044552134,1057933.58669611,1296440.90809132,533107.973616528,993411.294737521,317333.985439008,736233.531466271,348505.588608099,285846.446937084,669736.488359373,440284.804542585,621970.585874247,882036.374104573,1485981.3385365,1098234.50875008
"y1998",689685.52826566,1306031.88648814,669924.819368182,1219880.56374607,632362.990904817,866857.281646651,1258864.4506632,1044820.68635545,1065556.22038054,560814.393006849,501899.31433825,683106.507549842,693743.217297078,613727.563868843,350278.171117653,522612.202514266,1338580.41680412,551871.751689195,712198.701211806,365374.784602214,596486.586820376,862461.263517051,312731.332862767,690122.325674068,208904.362531332,498334.940800544,254077.194700476,167455.76634067,440303.255751994,264017.739917072,512366.352518252,495490.388456032,805673.409943455,748127.308857325
"y1999",1126327.81873495,1874620.8888228,1142611.95252673,1904320.77637187,1229153.52934996,1310805.32056082,2065377.03980108,1617007.40257077,1674196.39976531,953910.260401389,879760.646276731,963279.415583723,948593.724272832,1332740.03138492,659924.451710113,1000513.79927905,551871.751689195,3155054.27737165,986293.101642166,632257.997008232,1043021.38319057,1484706.36917728,531250.046062682,936001.635034782,384210.928633967,715481.43985931,433700.820192881,363982.990968114,622656.61534183,380632.845656395,698465.215533853,898779.535224027,1447851.34710059,1161720.569182
"y2000",1684063.77612732,2222683.55096686,1320548.26573757,2378475.12746972,1424369.07462607,1537486.6512177,2396651.79697224,2141641.26644851,1845262.47185558,1085465.32119562,1038413.43004347,1218211.14280466,1241943.43841582,1705225.30867267,695443.672397896,1060515.6137634,712198.701211806,986293.101642166,5125897.23164284,793734.232000742,1197268.04067958,1699568.7926503,752303.856347463,1200960.86472143,401489.540611312,909773.196871993,500123.018517395,346741.483677632,735281.994939867,544911.69801776,890286.625729925,903662.234906056,1798677.49400934,1495812.18038451
"y2001",912726.714357915,1389808.48487152,850169.116479324,1384818.49823295,833126.322169044,1013526.51277632,1605422.82437728,1227855.88661873,1324549.1860967,744394.996015036,674939.66986295,806334.45857664,845407.512989305,988630.474957131,406031.499427696,682624.044552134,365374.784602214,632257.997008232,793734.232000742,1587644.00541372,736675.096924796,1266438.23566011,403457.165694661,771540.936115309,291516.247040685,568047.497280238,307814.976109576,280785.932983194,490969.102001672,311835.04799654,523107.013318233,597695.642860504,1022710.7799897,886122.701757159
"y2002",1118562.05646093,2207253.09554975,1155399.78483557,2187971.54149226,1241579.90483262,1214967.66693565,2165986.60696945,1828834.55425659,1952342.03151368,989986.118514768,912789.909137284,1067988.71185691,1193391.17932491,1586446.80412937,695016.841849486,1057933.58669611,596486.586820376,1043021.38319057,1197268.04067958,736675.096924796,2879777.7348617,1504702.99542122,568669.60636065,1125435.87374508,366128.504355177,953605.760710073,425560.276938027,415914.775002359,660562.035193147,488072.989320104,821122.332288624,942181.850405014,1514309.76274321,1289783.76967716
"y2003",1802807.43662781,2944501.78303125,1676300.4858764,3076885.42894243,1771014.23554491,2616390.94676753,3218337.86271041,2225308.59350614,2412854.41762295,1374089.67161216,1158480.45970631,1815592.35024171,2095907.83196306,2112034.90206243,810820.266699555,1296440.90809132,862461.263517051,1484706.36917728,1699568.7926503,1266438.23566011,1504702.99542122,18695230.7559043,1080016.02186064,1475065.74667361,665666.631072341,1321745.18482236,734074.517763269,610112.845022228,856020.388522391,804839.103287894,967001.030829082,1287920.52394421,2206833.91736282,2061214.96214699
"y2004",806378.18877632,1093891.19254001,667256.171212644,1070596.63200646,691048.264856152,857279.505550364,1367944.61477206,1109291.77059252,1041356.06253058,597290.95563716,504277.396131027,728729.0484656,703790.76210634,615533.423310872,353343.272680735,533107.973616528,312731.332862767,531250.046062682,752303.856347463,403457.165694661,568669.60636065,1080016.02186064,966767.712808869,676264.53845639,239598.019395959,485728.861475358,270955.870605993,204030.438022388,399122.814023901,279432.131329068,410040.6603444,558430.780301847,887281.281310269,721932.695181666
