Alt Stock Year ABC OFL Catch SSB F Total_Biom SPR_Implied
EBS_Pollock_2013 6 433 2019.5 2446.25 26246.7 10379.3 0.391509 0.415863 9996.4
EBS_Pollock_2013 6 434 2019.5 2273.82 21101.1 9008.97 0.386825 0.423307 8954.71
EBS_Pollock_2013 6 435 2019.5 2297.79 23177.4 9151.59 0.386874 0.422002 9038.59
EBS_Pollock_2013 1 1 2019.5 2240.63 19827.3 8560 0.437426 0.336109 8398.76
EBS_Pollock_2013 6 436 2019.5 2639.77 29477.1 11158.8 0.366496 0.462573 10747.9
EBS_Pollock_2013 1 2 2019.5 3219.32 32992.9 13277.8 0.402329 0.388669 12771.2
EBS_Pollock_2013 6 437 2019.5 2255.43 23612.4 9279.77 0.387327 0.422089 8960.01
EBS_Pollock_2013 1 3 2019.5 2799.79 22979 10788.4 0.410505 0.375165 10763.6
EBS_Pollock_2013 6 438 2019.5 2282.99 20937.9 9261.91 0.381288 0.430733 9052.68
EBS_Pollock_2013 1 4 2019.5 2347.31 17501.1 8766.45 0.426191 0.350924 8765.28
EBS_Pollock_2013 6 439 2019.5 2218.2 20656.1 9037.46 0.392301 0.413909 8795.13
EBS_Pollock_2013 1 5 2019.5 2753.61 30873.2 11401.2 0.415857 0.366286 11028.7
EBS_Pollock_2013 1 6 2019.5 2529.22 24690.4 10307.2 0.417981 0.363388 9843.74
EBS_Pollock_2013 3 760 2019.5 2273.82 19035.2 8868.31 0.41734 0.362868 8702.55
EBS_Pollock_2013 1 7 2019.5 2820.6 26478.9 11088.3 0.415502 0.367445 10914.1
EBS_Pollock_2013 3 761 2019.5 2944.47 25629.2 11406.7 0.41734 0.362868 11256.9
EBS_Pollock_2013 1 8 2019.5 2219.56 14951.4 8169.61 0.440402 0.331835 8164.6
EBS_Pollock_2013 3 762 2019.5 2065.55 23261.5 8125.7 0.41734 0.362868 7837.12
EBS_Pollock_2013 1 9 2019.5 2801.59 26500.2 11315.1 0.40477 0.384472 10938
EBS_Pollock_2013 3 763 2019.5 3217.82 30250.2 12588.3 0.41734 0.362868 12321.2
EBS_Pollock_2013 3 764 2019.5 3272.24 27229 12770.1 0.41734 0.362868 12567.7
EBS_Pollock_2013 3 765 2019.5 2540.74 22041.5 9597.85 0.41734 0.362868 9562.98
EBS_Pollock_2013 3 766 2019.5 2183.11 19352.8 8442.61 0.41734 0.362868 8291.89
EBS_Pollock_2013 3 767 2019.5 2651.77 22714.8 10330.3 0.41734 0.362868 10137.6
EBS_Pollock_2013 3 768 2019.5 2823.85 25703 11226.6 0.41734 0.362868 10935.5
EBS_Pollock_2013 3 769 2019.5 2315.31 23310.5 8820.9 0.41734 0.362868 8749.35
EBS_Pollock_2013 2 250 2019.5 3045.98 27324.2 12127.9 0.405043 0.384106 11938.6
EBS_Pollock_2013 2 251 2019.5 2104.94 16994.2 7727.83 0.454209 0.311198 7681.62
EBS_Pollock_2013 2 252 2019.5 2552.09 23190.3 10353.5 0.411962 0.372453 9968.81
EBS_Pollock_2013 2 253 2019.5 2891.02 26475.6 11455 0.404846 0.384457 11241.1
EBS_Pollock_2013 2 254 2019.5 2612.58 23782.9 10319.6 0.411015 0.373914 10016.2
EBS_Pollock_2013 2 255 2019.5 2337.39 19094.7 8740.03 0.427004 0.348668 8711.14
EBS_Pollock_2013 2 256 2019.5 2447.85 22453.6 9623.88 0.41733 0.363975 9351.25
EBS_Pollock_2013 2 257 2019.5 2236.01 17681.6 8300.95 0.438544 0.332321 8271.58
EBS_Pollock_2013 7 490 2019.5 2180.15 18276.2 8489.85 0.400431 0.394691 8424.01
EBS_Pollock_2013 2 258 2019.5 3013.66 27781.8 12019.2 0.407813 0.379509 11768.2
EBS_Pollock_2013 7 491 2019.5 1969.36 15284.4 7392.09 0.426518 0.351488 7372.11
EBS_Pollock_2013 2 259 2019.5 2876.49 22893 11174.9 0.405097 0.384017 11086.8
EBS_Pollock_2013 7 492 2019.5 2983.28 32705.4 12651.4 0.36669 0.463641 12188.9
EBS_Pollock_2013 7 493 2019.5 2347.86 18824.4 9273.7 0.393545 0.40914 9191.83
EBS_Pollock_2013 7 494 2019.5 3099.83 33276.2 13168.6 0.367022 0.463064 12668.4
EBS_Pollock_2013 7 495 2019.5 2026.7 17692.1 7717 0.418411 0.363239 7626.76
EBS_Pollock_2013 7 496 2019.5 2706.34 26701.9 11083.7 0.385865 0.427199 10725.2
EBS_Pollock_2013 7 497 2019.5 2652.47 31066.5 11383.4 0.374198 0.447386 10774
EBS_Pollock_2013 7 498 2019.5 2519.87 27165.9 10414 0.369822 0.45597 10159.6
EBS_Pollock_2013 7 499 2019.5 2406.09 23450.5 9959.85 0.381767 0.431568 9693.9
EBS_Pollock_2013 2 710 2019.5 2596.69 22236.5 10168.7 0.406859 0.380898 10030.6
EBS_Pollock_2013 2 711 2019.5 2535.5 22353.4 9850.28 0.417534 0.363485 9697.83
EBS_Pollock_2013 2 712 2019.5 2563.81 28165.6 10132.4 0.421822 0.357621 9726.53
EBS_Pollock_2013 2 713 2019.5 2697.6 23763.7 10557.2 0.40891 0.377811 10338
EBS_Pollock_2013 2 714 2019.5 2901.19 24789.1 11358.6 0.405324 0.383631 11226.8
EBS_Pollock_2013 2 715 2019.5 2495.6 23770.3 9585.01 0.424283 0.353393 9439.22
EBS_Pollock_2013 2 716 2019.5 2477.5 20172 9394.69 0.419874 0.360414 9334.69
EBS_Pollock_2013 2 717 2019.5 2772.78 27755.9 11282 0.405507 0.383298 10877.4
EBS_Pollock_2013 7 950 2019.5 2338.69 20555.1 9344.68 0.384481 0.425143 9210.41
EBS_Pollock_2013 2 718 2019.5 2431.89 19846.2 9449.42 0.419831 0.360174 9277.81
EBS_Pollock_2013 7 951 2019.5 2328.34 25976.8 9488.96 0.384134 0.425091 9155.16
EBS_Pollock_2013 2 719 2019.5 2195.29 17997.7 8278.58 0.444371 0.325878 8141.32
EBS_Pollock_2013 7 952 2019.5 2044.53 15738.7 7674.22 0.417919 0.366886 7688.19
EBS_Pollock_2013 7 953 2019.5 2132.38 18863.5 8439.74 0.408133 0.382173 8301.99
EBS_Pollock_2013 7 954 2019.5 2260.04 20268.1 9073.49 0.392929 0.411093 8872.21
EBS_Pollock_2013 1 200 2019.5 2867.66 29807.2 11759.2 0.410322 0.37558 11200.5
EBS_Pollock_2013 7 955 2019.5 2584.9 23831.9 10315.9 0.394899 0.411384 10113.9
EBS_Pollock_2013 1 201 2019.5 2693.24 24977.4 10658.4 0.412139 0.3726 10461.2
EBS_Pollock_2013 7 956 2019.5 2209.38 18645.2 8675.34 0.397464 0.400687 8545.52
EBS_Pollock_2013 1 202 2019.5 2995.69 24520.6 11564.6 0.41721 0.364696 11413
EBS_Pollock_2013 7 957 2019.5 2382.61 23700.7 9840.03 0.388613 0.417247 9522.48
EBS_Pollock_2013 1 203 2019.5 2597.05 26700.6 10462.1 0.412123 0.37238 10181.6
EBS_Pollock_2013 7 958 2019.5 2557.26 26999.6 10799.1 0.385207 0.425851 10395.9
EBS_Pollock_2013 1 204 2019.5 2394.46 19356 9261.9 0.418848 0.361103 9093.36
EBS_Pollock_2013 7 959 2019.5 2702.63 30694 11284.2 0.37125 0.453524 10951.1
EBS_Pollock_2013 1 205 2019.5 2369.58 20428.9 9164.26 0.425097 0.35308 8984.79
EBS_Pollock_2013 1 206 2019.5 2876.77 29876.7 11988.9 0.410272 0.375328 11567.2
EBS_Pollock_2013 1 207 2019.5 2573.53 20166.1 9900.34 0.416386 0.365686 9779.7
EBS_Pollock_2013 6 440 2019.5 2245.11 22660.1 8932.6 0.387919 0.420391 8863.81
EBS_Pollock_2013 1 208 2019.5 2289.96 22086.5 8861.76 0.430132 0.345381 8640.79
EBS_Pollock_2013 6 441 2019.5 2125.93 19809.2 8431.16 0.399035 0.398524 8245.64
EBS_Pollock_2013 1 209 2019.5 2479.57 19871.4 9507.34 0.418015 0.36327 9398.88
EBS_Pollock_2013 6 442 2019.5 2400.53 26489.2 9951.43 0.380094 0.434654 9581.24
EBS_Pollock_2013 6 443 2019.5 2218.01 25475.5 9031 0.388806 0.417406 8736.85
EBS_Pollock_2013 6 444 2019.5 2058.97 14215.5 7747.34 0.407973 0.384796 7794.45
EBS_Pollock_2013 6 445 2019.5 2452.7 24401.7 10289.9 0.370681 0.453286 9915.95
EBS_Pollock_2013 6 446 2019.5 2742.15 31087.5 11627 0.369473 0.458443 11196.3
EBS_Pollock_2013 6 447 2019.5 2709.35 29921.2 11754.4 0.364069 0.468083 11313.4
EBS_Pollock_2013 6 448 2019.5 2163.94 18676.9 8532.94 0.39371 0.406315 8408.68
EBS_Pollock_2013 6 449 2019.5 2298.8 20464.7 9335.9 0.380942 0.433752 9186.65
EBS_Pollock_2013 3 770 2019.5 2882.33 28217 11545.6 0.41734 0.362868 11193.1
EBS_Pollock_2013 3 771 2019.5 2907.66 25109.9 11396.5 0.41734 0.362868 11126.7
EBS_Pollock_2013 3 772 2019.5 2767.22 29212.6 11158.5 0.41734 0.362868 10915.9
EBS_Pollock_2013 3 773 2019.5 2949.06 25453.2 11561.9 0.41734 0.362868 11426.4
EBS_Pollock_2013 3 774 2019.5 2838.23 27439.6 11372.7 0.41734 0.362868 11197.3
EBS_Pollock_2013 3 775 2019.5 2344.71 18044.6 8937.99 0.41734 0.362868 8905.76
EBS_Pollock_2013 3 776 2019.5 2290.25 23378.9 9477.15 0.41734 0.362868 9084.1
EBS_Pollock_2013 3 777 2019.5 2369.41 20899.4 9151.2 0.41734 0.362868 8946.48
EBS_Pollock_2013 3 778 2019.5 2331.83 20404.4 8958.11 0.41734 0.362868 8838.62
EBS_Pollock_2013 3 779 2019.5 3247.31 28351.5 12644.2 0.41734 0.362868 12391.4
EBS_Pollock_2013 2 260 2019.5 2709.59 24894.7 10614.8 0.411286 0.373531 10384.1
EBS_Pollock_2013 2 261 2019.5 2415.72 18557.4 9237.29 0.437056 0.335796 9171.52
EBS_Pollock_2013 2 262 2019.5 2141.88 18582.5 8293.67 0.449195 0.317251 7939.18
EBS_Pollock_2013 2 263 2019.5 2159.21 18208.6 8157.02 0.44671 0.319994 7972.5
EBS_Pollock_2013 2 264 2019.5 3801.09 40024.2 15072.6 0.412343 0.372457 14868.5
EBS_Pollock_2013 6 900 2019.5 2268.23 21725 9026.57 0.382998 0.427705 8944.52
EBS_Pollock_2013 2 265 2019.5 2251.33 19122.5 8638.98 0.435741 0.334891 8380.25
EBS_Pollock_2013 6 901 2019.5 2148.74 21402.1 8878.53 0.396127 0.403199 8458.96
EBS_Pollock_2013 2 266 2019.5 2522.88 24000.2 10136.4 0.417603 0.363968 9839.88
EBS_Pollock_2013 6 902 2019.5 2245.71 20314.9 8990.09 0.386376 0.422561 8842.03
EBS_Pollock_2013 2 267 2019.5 2449.65 24165.5 9842.28 0.427079 0.349445 9561.1
EBS_Pollock_2013 6 903 2019.5 2822.48 27859.9 11895.8 0.363139 0.470724 11600.4
EBS_Pollock_2013 2 268 2019.5 2662.55 28303 10645.4 0.419705 0.36078 10110.9
EBS_Pollock_2013 6 904 2019.5 2358.84 20580.2 9584.76 0.378098 0.439282 9384.41
EBS_Pollock_2013 2 269 2019.5 2688.64 24532.6 10685.4 0.414318 0.36945 10444.5
EBS_Pollock_2013 6 905 2019.5 2542.26 25684.9 10328.3 0.371114 0.453207 10166.3
EBS_Pollock_2013 6 906 2019.5 2445.2 23778.3 10161.3 0.374385 0.446939 9962.87
EBS_Pollock_2013 6 907 2019.5 2038.34 16807.3 7932.83 0.41053 0.380566 7837.2
EBS_Pollock_2013 6 908 2019.5 2273.02 23393.9 9526.99 0.383462 0.426334 9126.87
EBS_Pollock_2013 6 909 2019.5 2620.46 33645 11258 0.374425 0.445979 10783
EBS_Pollock_2013 2 720 2019.5 2486.81 30138.3 10527.4 0.421733 0.356621 9703.82
EBS_Pollock_2013 2 721 2019.5 2288.92 20455.2 9002.87 0.434771 0.339535 8670.2
EBS_Pollock_2013 2 722 2019.5 2301.53 17820.1 8722.35 0.430667 0.342986 8640.69
EBS_Pollock_2013 2 723 2019.5 2657.7 27307.4 10368.1 0.432047 0.343129 10238.6
EBS_Pollock_2013 2 724 2019.5 2410.68 17776.8 8983.99 0.433204 0.341931 8951.54
EBS_Pollock_2013 2 725 2019.5 2430.12 18884.3 9276.88 0.419231 0.361217 9209.52
EBS_Pollock_2013 2 726 2019.5 2171.19 21142.3 8532.14 0.452245 0.318289 8111.57
EBS_Pollock_2013 2 727 2019.5 2293.44 20257.2 8669.53 0.440776 0.33186 8574.09
EBS_Pollock_2013 7 960 2019.5 2258.2 22394 9148.94 0.391137 0.410704 8869.47
EBS_Pollock_2013 2 728 2019.5 2918.75 25025.3 11361.9 0.41662 0.365914 11255.3
EBS_Pollock_2013 7 961 2019.5 2074.3 17877.8 7968.18 0.412116 0.372998 7861.97
EBS_Pollock_2013 2 729 2019.5 2115.78 16751.1 8081.37 0.453676 0.313065 7816.47
EBS_Pollock_2013 7 962 2019.5 2341.42 21028.7 9298.3 0.387405 0.420316 9129.69
EBS_Pollock_2013 7 963 2019.5 2262.82 21514.9 8909.16 0.390973 0.411656 8835.24
EBS_Pollock_2013 7 964 2019.5 2749.68 27243.6 11328.5 0.376326 0.442822 11098.3
EBS_Pollock_2013 1 210 2019.5 2212.83 17466.9 8283.33 0.438128 0.332936 8189.34
EBS_Pollock_2013 7 965 2019.5 2391.96 23510 9692.12 0.384676 0.426511 9477.13
EBS_Pollock_2013 1 211 2019.5 3052.67 28702.8 11976.1 0.407157 0.380738 11777.1
EBS_Pollock_2013 7 966 2019.5 2137.05 17829.9 8239.48 0.405729 0.385868 8158.07
EBS_Pollock_2013 1 212 2019.5 2283.98 17780.1 8578.45 0.434362 0.343271 8478.51
EBS_Pollock_2013 7 967 2019.5 2172.3 20054 8493.22 0.408838 0.382938 8443.53
EBS_Pollock_2013 1 213 2019.5 2335.7 23262.5 9151.73 0.450505 0.321441 8908.47
EBS_Pollock_2013 7 968 2019.5 2150.14 18131.2 8398.61 0.403017 0.388547 8267.81
EBS_Pollock_2013 1 214 2019.5 3062.79 26874.1 11978.1 0.406211 0.381947 11848.3
EBS_Pollock_2013 7 969 2019.5 2525.22 21727 10167.9 0.382216 0.430803 10029.3
EBS_Pollock_2013 1 215 2019.5 2187.81 16724.6 8155.77 0.440266 0.328898 8105.81
EBS_Pollock_2013 1 216 2019.5 2595.4 24399.9 10259.8 0.40884 0.377565 10088.5
EBS_Pollock_2013 1 217 2019.5 2782.49 29796.9 11191.8 0.407975 0.379293 10799.4
EBS_Pollock_2013 6 450 2019.5 2282.63 20817.3 9239.35 0.381699 0.430658 9098.29
EBS_Pollock_2013 1 218 2019.5 2231.71 23596.6 8838 0.443219 0.32843 8559.43
EBS_Pollock_2013 6 451 2019.5 1945.7 17642.6 7435.52 0.420245 0.361569 7340.57
EBS_Pollock_2013 1 219 2019.5 2477 24275.8 9860.48 0.418684 0.362052 9443.47
EBS_Pollock_2013 6 452 2019.5 2407.64 24215.5 10015.5 0.373833 0.447491 9718.25
EBS_Pollock_2013 6 453 2019.5 2448.8 21302.1 9743.27 0.390591 0.417825 9632.06
EBS_Pollock_2013 6 454 2019.5 2080.83 20310.5 8397.88 0.406496 0.386314 8158.12
EBS_Pollock_2013 6 455 2019.5 2326.65 24819 9605.78 0.384212 0.427937 9336.14
EBS_Pollock_2013 6 456 2019.5 2353.81 24950.5 9545.45 0.376078 0.443851 9364.85
EBS_Pollock_2013 6 457 2019.5 2064.05 19101.4 8150.04 0.405058 0.385832 7956.1
EBS_Pollock_2013 6 458 2019.5 2126.1 19496.2 8488.52 0.39961 0.398561 8262.07
EBS_Pollock_2013 6 459 2019.5 2288.83 20315 9172.75 0.382296 0.429683 9034.67
EBS_Pollock_2013 3 1000 2019.5 2686.58 19846.7 10191.1 0.41734 0.362868 10151.7
EBS_Pollock_2013 3 780 2019.5 3385.01 32018.3 13214 0.41734 0.362868 13066
EBS_Pollock_2013 3 781 2019.5 2771.64 29342.7 10780.4 0.41734 0.362868 10595.3
EBS_Pollock_2013 3 782 2019.5 2697.27 29349.3 11132.3 0.41734 0.362868 10473.9
EBS_Pollock_2013 3 783 2019.5 2250.93 20621.1 8780.96 0.41734 0.362868 8669.01
EBS_Pollock_2013 3 784 2019.5 2250.59 23887.1 8961.97 0.41734 0.362868 8626.61
EBS_Pollock_2013 3 785 2019.5 2531.72 24410.3 10069.4 0.41734 0.362868 9725.89
