"Year" "Model" "q"
"1" 1982 "CV70%" 0.964469333333333
"2" 1983 "CV70%" 1.2571705
"3" 1984 "CV70%" 1.0199165
"4" 1985 "CV70%" 1.00299516666667
"5" 1986 "CV70%" 0.780197666666667
"6" 1987 "CV70%" 1.21880066666667
"7" 1988 "CV70%" 1.42342333333333
"8" 1989 "CV70%" 1.525591
"9" 1990 "CV70%" 2.02509216666667
"10" 1991 "CV70%" 1.60581916666667
"11" 1992 "CV70%" 1.566492
"12" 1993 "CV70%" 1.73582383333333
"13" 1994 "CV70%" 1.555337
"14" 1995 "CV70%" 1.38580901666667
"15" 1996 "CV70%" 0.886845283333333
"16" 1997 "CV70%" 0.82572065
"17" 1998 "CV70%" 0.667194666666667
"18" 1999 "CV70%" 0.877809833333333
"19" 2000 "CV70%" 1.17697183333333
"20" 2001 "CV70%" 0.962032166666667
"21" 2002 "CV70%" 1.21116783333333
"22" 2003 "CV70%" 1.22075445
"23" 2004 "CV70%" 1.13388833333333
"24" 2005 "CV70%" 1.48008533333333
"25" 2006 "CV70%" 0.979330166666667
"26" 2007 "CV70%" 1.51728166666667
"27" 2008 "CV70%" 1.518869
"28" 2009 "CV70%" 1.46223883333333
"29" 2010 "CV70%" 2.0807225
"30" 2011 "CV70%" 1.65435893333333
"31" 2012 "CV70%" 1.44176533333333
"32" 2013 "CV70%" 1.60200016666667
"33" 2014 "CV70%" 1.75787316666667
"34" 2015 "CV70%" 1.69328383333333
"35" 2016 "CV70%" 1.571803
"36" 2017 "CV70%" 1.2322485
"37" 2018 "CV70%" 0.898867
"38" 2019 "CV70%" 1.3439
"39" 1982 "CV50%" 1.04482
"40" 1983 "CV50%" 1.2395875
"41" 1984 "CV50%" 1.02074116666667
"42" 1985 "CV50%" 1.07388666666667
"43" 1986 "CV50%" 0.785477833333333
"44" 1987 "CV50%" 1.2844455
"45" 1988 "CV50%" 1.43595366666667
"46" 1989 "CV50%" 1.558225
"47" 1990 "CV50%" 1.90370216666667
"48" 1991 "CV50%" 1.63773666666667
"49" 1992 "CV50%" 1.57408266666667
"50" 1993 "CV50%" 1.663229
"51" 1994 "CV50%" 1.50907716666667
"52" 1995 "CV50%" 1.32837883333333
"53" 1996 "CV50%" 0.904998116666667
"54" 1997 "CV50%" 0.828346666666667
"55" 1998 "CV50%" 0.700220166666667
"56" 1999 "CV50%" 0.8712285
"57" 2000 "CV50%" 1.10643133333333
"58" 2001 "CV50%" 0.985896333333333
"59" 2002 "CV50%" 1.187359
"60" 2003 "CV50%" 1.21877041666667
"61" 2004 "CV50%" 1.15413583333333
"62" 2005 "CV50%" 1.403522
"63" 2006 "CV50%" 1.02810616666667
"64" 2007 "CV50%" 1.45970816666667
